d,T,K,u,time_simu
1.0,0.2,10.0,1.1207664119782397,19.675776486
1.0,0.2,10.0,1.1204050479609884,19.025836385
1.0,0.2,10.0,1.120870681498431,18.916049648
1.0,0.2,10.0,1.1209303700315758,18.919909422
1.0,0.2,10.0,1.1207352853528427,19.020277424
2.0,0.2,10.0,1.168499172185903,22.878177186
2.0,0.2,10.0,1.1688051108070385,22.993560926
2.0,0.2,10.0,1.1688000382525214,22.578915036
2.0,0.2,10.0,1.1688024180164878,21.951683582
2.0,0.2,10.0,1.1682387230922835,24.13562085
5.0,0.2,10.0,1.173646942849262,51.100138062
5.0,0.2,10.0,1.1744918352681615,49.590222976
5.0,0.2,10.0,1.1740765038693775,50.927079877
5.0,0.2,10.0,1.1741873295007852,50.919022751
5.0,0.2,10.0,1.1736196020951688,50.982180391
10.0,0.2,10.0,1.1719514124384114,71.962306786
10.0,0.2,10.0,1.1709731018888603,69.090896791
10.0,0.2,10.0,1.1715794956105,69.746158107
10.0,0.2,10.0,1.1717033231103247,68.809565638
10.0,0.2,10.0,1.170515952591337,68.475736925
1.0,0.5,10.0,1.3090373036787422,18.630795965
1.0,0.5,10.0,1.3088151540658042,19.2713182
1.0,0.5,10.0,1.3095408055982283,18.689861218
1.0,0.5,10.0,1.3100524196737267,18.811700708
1.0,0.5,10.0,1.3082415466520754,20.478772158
2.0,0.5,10.0,1.4456461344427114,24.011464684
2.0,0.5,10.0,1.4413469592687178,22.524043735
2.0,0.5,10.0,1.4433458126819947,22.083424092
2.0,0.5,10.0,1.443039786375373,24.174462821
2.0,0.5,10.0,1.443139529288451,23.438742011
5.0,0.5,10.0,1.461819479974432,51.613985428
5.0,0.5,10.0,1.4546549761618917,52.117655248
5.0,0.5,10.0,1.4606882676000432,50.520628089
5.0,0.5,10.0,1.4604772938437207,53.095101674
5.0,0.5,10.0,1.4549747470078283,50.520911516
10.0,0.5,10.0,1.454312200339835,70.494540216
10.0,0.5,10.0,1.4545313075293613,70.901783982
10.0,0.5,10.0,1.4508724859779039,71.043883103
10.0,0.5,10.0,1.4541742263282127,72.364765075
10.0,0.5,10.0,1.4487016421686634,71.723123304
1.0,1.0,10.0,1.6204440812061744,19.341828528
1.0,1.0,10.0,1.621123161299908,19.655831489
1.0,1.0,10.0,1.6197389409358265,19.502035524
1.0,1.0,10.0,1.6219850123031718,19.599462503
1.0,1.0,10.0,1.6195549676707917,19.103052311
2.0,1.0,10.0,1.9050848190397462,22.794528042
2.0,1.0,10.0,1.8949453308723627,23.079071552
2.0,1.0,10.0,1.906000894500771,22.444608747
2.0,1.0,10.0,1.9096268848899343,22.967038631
2.0,1.0,10.0,1.911482108471671,22.76529021
5.0,1.0,10.0,1.9430469864109265,51.749351917
5.0,1.0,10.0,1.9432792098689124,52.521210193
5.0,1.0,10.0,1.9381650940782202,52.79322287
5.0,1.0,10.0,1.9399751924399535,52.144017396
5.0,1.0,10.0,1.9407436976814738,51.140990845
10.0,1.0,10.0,1.9233691631548733,69.773432522
10.0,1.0,10.0,1.9274610216210657,70.251714358
10.0,1.0,10.0,1.9244024273156808,72.117631809
10.0,1.0,10.0,1.9272785276878617,70.229072466
10.0,1.0,10.0,1.9302273652703512,69.905316502
1.0,0.2,10.0,1.1209457272675507,19.129309633
1.0,0.2,10.0,1.1206853097194174,19.136700271
1.0,0.2,10.0,1.1207788812681667,18.976099191
1.0,0.2,10.0,1.120934109813644,18.975156984
1.0,0.2,10.0,1.1211216417727692,20.023672587
2.0,0.2,10.0,1.1693265076694785,22.171018717
2.0,0.2,10.0,1.1693150680515345,22.717832724
2.0,0.2,10.0,1.1687348563826325,24.993438918
2.0,0.2,10.0,1.1691153590828718,23.344688235
2.0,0.2,10.0,1.1685120653330756,23.315827611
5.0,0.2,10.0,1.173743119611353,53.378597632
5.0,0.2,10.0,1.1737357398442978,52.116806579
5.0,0.2,10.0,1.1735262108032116,51.14002112
5.0,0.2,10.0,1.1743237308122203,54.062797986
5.0,0.2,10.0,1.1734683919302626,52.266986024
10.0,0.2,10.0,1.1707738391236409,70.606982897
10.0,0.2,10.0,1.1712659193752908,70.37412208
10.0,0.2,10.0,1.1714852741110229,70.01099558
10.0,0.2,10.0,1.1714718019438444,71.675733997
10.0,0.2,10.0,1.1711898572885675,72.121098529
1.0,0.5,10.0,1.3100216283061923,19.167957378
1.0,0.5,10.0,1.3081800775046477,18.706180625
1.0,0.5,10.0,1.309707020314278,19.043623907
1.0,0.5,10.0,1.3093854571530001,19.145029803
1.0,0.5,10.0,1.3092395812949305,20.06781725
2.0,0.5,10.0,1.4442745986113152,21.747042036
2.0,0.5,10.0,1.4455532333682963,23.035619988
2.0,0.5,10.0,1.4422630245180625,22.868679271
2.0,0.5,10.0,1.4424279369144162,22.516490756
2.0,0.5,10.0,1.443024316220838,22.875898388
5.0,0.5,10.0,1.4590869406643778,51.794934765
5.0,0.5,10.0,1.46197405297991,52.466649119
5.0,0.5,10.0,1.4563308474378336,51.520557637
5.0,0.5,10.0,1.4593504242178645,50.7505544
5.0,0.5,10.0,1.4586735394309835,50.243443743
10.0,0.5,10.0,1.4536955863509384,71.4136489
10.0,0.5,10.0,1.451467039673694,68.954096034
10.0,0.5,10.0,1.4507158360777241,71.085969999
10.0,0.5,10.0,1.4507384545723374,71.285024744
10.0,0.5,10.0,1.4535026456643017,69.753786156
1.0,1.0,10.0,1.6174748710485372,19.809324797
1.0,1.0,10.0,1.6184873074314936,18.991677779
1.0,1.0,10.0,1.6193030752289168,19.557357147
1.0,1.0,10.0,1.6175483325887834,19.097348402
1.0,1.0,10.0,1.6213349465708902,18.077751956
2.0,1.0,10.0,1.906227029787855,23.40949288
2.0,1.0,10.0,1.9066292836394763,22.778851768
2.0,1.0,10.0,1.8998911604520194,23.030548397
2.0,1.0,10.0,1.9125217264839258,22.782419598
2.0,1.0,10.0,1.9061444717008968,22.375684752
5.0,1.0,10.0,1.9499421463432323,50.953653457
5.0,1.0,10.0,1.950653472335051,51.15340526
5.0,1.0,10.0,1.9445129349393486,50.801582138
5.0,1.0,10.0,1.9445900369419644,50.396617649
5.0,1.0,10.0,1.950096232703122,50.293125414
10.0,1.0,10.0,1.9343644866023046,69.205616534
10.0,1.0,10.0,1.9337532525264494,67.738950049
10.0,1.0,10.0,1.9334078726911077,69.876147137
10.0,1.0,10.0,1.9346244893896674,70.385917203
10.0,1.0,10.0,1.9253190384881642,68.686535098
