d,T,N,u,time_simu,ref_value
1.0,0.2,10.0,0.9927252531051636,44.304343463,
1.0,0.2,10.0,0.9933481216430664,44.232267549,
1.0,0.2,10.0,0.9919754862785339,43.398679543,
1.0,0.2,10.0,0.994583010673523,44.831799507,
1.0,0.2,10.0,0.9930086135864258,44.067544703,
2.0,0.2,10.0,0.9928028583526611,46.385553476,
2.0,0.2,10.0,0.9964812994003296,46.190346287,
2.0,0.2,10.0,0.9998230934143066,46.629165367,
2.0,0.2,10.0,0.9949456453323364,45.768662779,
2.0,0.2,10.0,0.9913426637649536,45.159820647,
5.0,0.2,10.0,1.0011969804763794,55.434831573,
5.0,0.2,10.0,0.9700984954833984,51.118171788,
5.0,0.2,10.0,0.9852182865142822,49.600974341,
5.0,0.2,10.0,0.970480740070343,47.36028649,
5.0,0.2,10.0,0.9738551378250122,46.520416815,
10.0,0.2,10.0,0.9841659069061279,53.469705986,
10.0,0.2,10.0,0.9785623550415039,53.402691829,
10.0,0.2,10.0,0.9728954434394836,52.851239499,
10.0,0.2,10.0,0.9827122092247009,52.793637378,
10.0,0.2,10.0,0.9532588124275208,51.978840406,
1.0,0.5,10.0,0.986642062664032,36.477171352,
1.0,0.5,10.0,0.9863079786300659,37.95396108,
1.0,0.5,10.0,0.9861210584640503,35.821072519,
1.0,0.5,10.0,0.9866777062416077,35.967694564,
1.0,0.5,10.0,0.9865654706954956,35.652390461,
2.0,0.5,10.0,0.9756983518600464,41.357737359,
2.0,0.5,10.0,0.9774398803710938,41.35506537,
2.0,0.5,10.0,0.9732518792152405,41.195244989,
2.0,0.5,10.0,0.9747732281684875,41.573710966,
2.0,0.5,10.0,0.9753926992416382,40.902745233,
5.0,0.5,10.0,0.9546655416488647,45.909777045,
5.0,0.5,10.0,0.9538027048110962,44.806243518,
5.0,0.5,10.0,0.9431942701339722,44.431552136,
5.0,0.5,10.0,0.955980122089386,44.713697123,
5.0,0.5,10.0,0.9548312425613403,44.587693596,
10.0,0.5,10.0,0.9322165846824646,51.548972362,
10.0,0.5,10.0,0.9270936846733093,52.614745689,
10.0,0.5,10.0,0.9247452616691589,51.357706896,
10.0,0.5,10.0,0.9152134656906128,51.03471999,
10.0,0.5,10.0,0.9329947829246521,50.738524195,
1.0,1.0,10.0,0.98250412940979,34.464139256,
1.0,1.0,10.0,0.982804536819458,33.772058732,
1.0,1.0,10.0,0.9824662208557129,34.36684938,
1.0,1.0,10.0,0.9826550483703613,33.67703666,
1.0,1.0,10.0,0.9824075102806091,33.531192218,
2.0,1.0,10.0,0.9661270380020142,39.326977413,
2.0,1.0,10.0,0.9655914306640625,39.364099763,
2.0,1.0,10.0,0.9655457735061646,39.418669606,
2.0,1.0,10.0,0.9646410942077637,39.39019283,
2.0,1.0,10.0,0.9663854837417603,39.408793894,
5.0,1.0,10.0,0.9221308827400208,45.110224764,
5.0,1.0,10.0,0.91524738073349,44.86540785,
5.0,1.0,10.0,0.9204639196395874,44.736578283,
5.0,1.0,10.0,0.9230135679244995,45.729195881,
5.0,1.0,10.0,0.921391487121582,44.52264346,
10.0,1.0,10.0,0.8636595010757446,52.887833707,
10.0,1.0,10.0,0.8667845726013184,54.12353518,
10.0,1.0,10.0,0.861061692237854,52.401402434,
10.0,1.0,10.0,0.8737283945083618,53.744394407,
10.0,1.0,10.0,0.8629807233810425,52.810755913,
