d,T,N,u,time_simu,ref_value
1.0,0.2,10.0,1.173606276512146,33.207973616,
1.0,0.2,10.0,1.1736083030700684,32.642136194,
1.0,0.2,10.0,1.173575758934021,32.121299521,
1.0,0.2,10.0,1.173586130142212,32.060042204,
1.0,0.2,10.0,1.1735597848892212,31.343715444,
2.0,0.2,10.0,1.2096341848373413,31.197304209,
2.0,0.2,10.0,1.2096673250198364,31.287656744,
2.0,0.2,10.0,1.2096151113510132,31.14455791,
2.0,0.2,10.0,1.2095710039138794,31.004259446,
2.0,0.2,10.0,1.2096549272537231,30.58193019,
5.0,0.2,10.0,1.215901255607605,30.099320204,
5.0,0.2,10.0,1.2159335613250732,29.909251476,
5.0,0.2,10.0,1.2158526182174683,29.395981718,
5.0,0.2,10.0,1.2159801721572876,29.082884749,
5.0,0.2,10.0,1.2159640789031982,28.71447524,
10.0,0.2,10.0,1.2129175662994385,29.905854221,
10.0,0.2,10.0,1.212878704071045,29.718473463,
10.0,0.2,10.0,1.2129007577896118,29.195649888,
10.0,0.2,10.0,1.2129262685775757,28.854997125,
10.0,0.2,10.0,1.2128254175186157,28.975746969,
1.0,0.5,10.0,1.4694344997406006,26.693203165,
1.0,0.5,10.0,1.4696292877197266,26.819453153,
1.0,0.5,10.0,1.4694945812225342,26.314716433,
1.0,0.5,10.0,1.469472885131836,25.701667389,
1.0,0.5,10.0,1.4695343971252441,25.518923135,
2.0,0.5,10.0,1.594730019569397,25.717234736,
2.0,0.5,10.0,1.5949982404708862,26.236645844,
2.0,0.5,10.0,1.5949480533599854,25.388455233,
2.0,0.5,10.0,1.5949721336364746,25.769205984,
2.0,0.5,10.0,1.5948748588562012,27.384931383,
5.0,0.5,10.0,1.618656039237976,26.053660451,
5.0,0.5,10.0,1.61834716796875,25.4440839,
5.0,0.5,10.0,1.6188750267028809,27.245932417,
5.0,0.5,10.0,1.618622899055481,25.410626112,
5.0,0.5,10.0,1.6186262369155884,25.210048685,
10.0,0.5,10.0,1.6084789037704468,26.372685386,
10.0,0.5,10.0,1.609161376953125,25.848218196,
10.0,0.5,10.0,1.6087839603424072,26.277270038,
10.0,0.5,10.0,1.608606219291687,27.107838435,
10.0,0.5,10.0,1.6089472770690918,26.703587669,
1.0,1.0,10.0,2.049236536026001,23.884614813,
1.0,1.0,10.0,2.049276351928711,24.482605592,
1.0,1.0,10.0,2.049316644668579,23.880390957,
1.0,1.0,10.0,2.0495927333831787,25.014267569,
1.0,1.0,10.0,2.049431085586548,23.345729379,
2.0,1.0,10.0,2.4684627056121826,23.943903351,
2.0,1.0,10.0,2.4687931537628174,25.424776216,
2.0,1.0,10.0,2.4687130451202393,25.243175093,
2.0,1.0,10.0,2.469054698944092,24.305738124,
2.0,1.0,10.0,2.4685111045837402,24.128156954,
5.0,1.0,10.0,2.5617318153381348,24.353433095,
5.0,1.0,10.0,2.5607187747955322,29.362982667,
5.0,1.0,10.0,2.561032772064209,24.26201399,
5.0,1.0,10.0,2.561457872390747,24.128773358,
5.0,1.0,10.0,2.5617830753326416,25.032870434,
10.0,1.0,10.0,2.5269625186920166,25.059674019,
10.0,1.0,10.0,2.5302305221557617,24.286874958,
10.0,1.0,10.0,2.5279436111450195,25.289532419,
10.0,1.0,10.0,2.5256237983703613,23.705474515,
10.0,1.0,10.0,2.5305724143981934,23.398820473,
