d,T,N,u,time_simu,ref_value
1.0,0.2,10.0,1.120425820350647,30.410261603,
1.0,0.2,10.0,1.1204379796981812,30.198749147,
1.0,0.2,10.0,1.1204136610031128,30.727907747,
1.0,0.2,10.0,1.120423436164856,29.502826391,
1.0,0.2,10.0,1.1204386949539185,29.519278136,
2.0,0.2,10.0,1.167859435081482,30.131281384,
2.0,0.2,10.0,1.1678558588027954,29.326685056,
2.0,0.2,10.0,1.1678324937820435,29.016827329,
2.0,0.2,10.0,1.1678553819656372,28.934346288,
2.0,0.2,10.0,1.1678863763809204,28.531822499,
5.0,0.2,10.0,1.1731927394866943,29.50535703,
5.0,0.2,10.0,1.1732163429260254,28.229287445,
5.0,0.2,10.0,1.1732187271118164,28.14623505,
5.0,0.2,10.0,1.1732097864151,27.708711501,
5.0,0.2,10.0,1.1732405424118042,27.568937848,
10.0,0.2,10.0,1.1704730987548828,28.556624336,
10.0,0.2,10.0,1.1704986095428467,28.699342127,
10.0,0.2,10.0,1.1704697608947754,28.520135756,
10.0,0.2,10.0,1.170509934425354,28.024471441,
10.0,0.2,10.0,1.1704590320587158,28.872663894,
1.0,0.5,10.0,1.308156967163086,24.888380162,
1.0,0.5,10.0,1.308090090751648,25.638837055,
1.0,0.5,10.0,1.3081191778182983,27.251381972,
1.0,0.5,10.0,1.3081241846084595,25.20614897,
1.0,0.5,10.0,1.3080941438674927,25.148944102,
2.0,0.5,10.0,1.4393556118011475,25.39539013,
2.0,0.5,10.0,1.4393870830535889,26.253573404,
2.0,0.5,10.0,1.4393033981323242,25.144856749,
2.0,0.5,10.0,1.4393601417541504,24.765241622,
2.0,0.5,10.0,1.4393850564956665,26.684319845,
5.0,0.5,10.0,1.4547206163406372,27.487336283,
5.0,0.5,10.0,1.4546867609024048,25.132535765,
5.0,0.5,10.0,1.4547297954559326,25.881841925,
5.0,0.5,10.0,1.4547226428985596,26.76493086,
5.0,0.5,10.0,1.4547232389450073,24.98831021,
10.0,0.5,10.0,1.447339415550232,27.045001373,
10.0,0.5,10.0,1.447379231452942,26.7941431,
10.0,0.5,10.0,1.4473013877868652,27.780791566,
10.0,0.5,10.0,1.4471951723098755,28.27667164,
10.0,0.5,10.0,1.4473071098327637,27.631825373,
1.0,1.0,10.0,1.6192066669464111,23.875657356,
1.0,1.0,10.0,1.6192063093185425,25.487632726,
1.0,1.0,10.0,1.6192020177841187,24.178621569,
1.0,1.0,10.0,1.619215726852417,25.218287484,
1.0,1.0,10.0,1.619127869606018,23.983146728,
2.0,1.0,10.0,1.9019429683685303,24.592464236,
2.0,1.0,10.0,1.901962161064148,26.812588512,
2.0,1.0,10.0,1.9019256830215454,25.90875415,
2.0,1.0,10.0,1.9019056558609009,25.003471297,
2.0,1.0,10.0,1.901993751525879,24.957741221,
5.0,1.0,10.0,1.9366841316223145,25.554515232,
5.0,1.0,10.0,1.9366296529769897,30.922886398,
5.0,1.0,10.0,1.9366177320480347,25.186160171,
5.0,1.0,10.0,1.9365525245666504,24.864653632,
5.0,1.0,10.0,1.9366189241409302,26.457765941,
10.0,1.0,10.0,1.9222277402877808,25.822173092,
10.0,1.0,10.0,1.9223475456237793,25.338752839,
10.0,1.0,10.0,1.9221423864364624,27.035134236,
10.0,1.0,10.0,1.9222043752670288,24.864370548,
10.0,1.0,10.0,1.9221975803375244,24.886270628,
