d,T,N,u,time_simu,ref_value
1.0,0.2,10.0,1.1363166570663452,30.060457774,
1.0,0.2,10.0,1.1363121271133423,30.330608431,
1.0,0.2,10.0,1.1362913846969604,29.11290115,
1.0,0.2,10.0,1.1363061666488647,28.964735874,
1.0,0.2,10.0,1.1362944841384888,30.036481582,
2.0,0.2,10.0,1.167852759361267,33.276043316,
2.0,0.2,10.0,1.1678568124771118,28.892611786,
2.0,0.2,10.0,1.167832612991333,28.738011112,
2.0,0.2,10.0,1.167860507965088,29.101048737,
2.0,0.2,10.0,1.1678599119186401,28.429738129,
5.0,0.2,10.0,1.1731852293014526,28.415172202,
5.0,0.2,10.0,1.1731868982315063,28.515224814,
5.0,0.2,10.0,1.1731750965118408,29.74381162,
5.0,0.2,10.0,1.1731969118118286,27.753111747,
5.0,0.2,10.0,1.1731321811676025,28.54728252,
10.0,0.2,10.0,1.1704940795898438,30.093196523,
10.0,0.2,10.0,1.17046320438385,29.528739893,
10.0,0.2,10.0,1.17042875289917,28.448722322,
10.0,0.2,10.0,1.1704672574996948,28.336455227,
10.0,0.2,10.0,1.170455813407898,28.737558108,
1.0,0.5,10.0,1.3513997793197632,26.239066641,
1.0,0.5,10.0,1.3514059782028198,24.990759865,
1.0,0.5,10.0,1.3514342308044434,25.880819875,
1.0,0.5,10.0,1.3514195680618286,25.660716476,
1.0,0.5,10.0,1.3513872623443604,24.886563308,
2.0,0.5,10.0,1.4393752813339233,28.464235128,
2.0,0.5,10.0,1.4393858909606934,26.690068101,
2.0,0.5,10.0,1.4393123388290405,26.066287239,
2.0,0.5,10.0,1.4393452405929565,26.038470032,
2.0,0.5,10.0,1.4393585920333862,27.856095114,
5.0,0.5,10.0,1.4546482563018799,27.356347888,
5.0,0.5,10.0,1.4546400308609009,27.013263527,
5.0,0.5,10.0,1.4546282291412354,25.999239961,
5.0,0.5,10.0,1.454603672027588,26.945813169,
5.0,0.5,10.0,1.4546570777893066,26.77923698,
10.0,0.5,10.0,1.447228193283081,27.036173862,
10.0,0.5,10.0,1.4473094940185547,27.789852727,
10.0,0.5,10.0,1.447358250617981,27.154018275,
10.0,0.5,10.0,1.4472339153289795,25.987080591,
10.0,0.5,10.0,1.4473778009414673,27.113805859,
1.0,1.0,10.0,1.7113568782806396,24.535849422,
1.0,1.0,10.0,1.7114111185073853,24.680400972,
1.0,1.0,10.0,1.7114120721817017,23.921696675,
1.0,1.0,10.0,1.7114429473876953,24.934066414,
1.0,1.0,10.0,1.7114853858947754,24.800975967,
2.0,1.0,10.0,1.902021050453186,24.732399536,
2.0,1.0,10.0,1.902052879333496,25.404948452,
2.0,1.0,10.0,1.902007818222046,24.681731893,
2.0,1.0,10.0,1.9019429683685303,24.508402151,
2.0,1.0,10.0,1.901982069015503,25.429952022,
5.0,1.0,10.0,1.9365125894546509,25.404006158,
5.0,1.0,10.0,1.9364091157913208,25.400348525,
5.0,1.0,10.0,1.9363784790039062,24.603831082,
5.0,1.0,10.0,1.9363906383514404,24.478452836,
5.0,1.0,10.0,1.9364665746688843,25.528159079,
10.0,1.0,10.0,1.9223649501800537,26.082200458,
10.0,1.0,10.0,1.9222030639648438,25.181716652,
10.0,1.0,10.0,1.922348141670227,25.489365842,
10.0,1.0,10.0,1.9221689701080322,25.772866737,
10.0,1.0,10.0,1.9221211671829224,25.086150071,
1.0,0.2,10.0,1.1362944841384888,22.656210199,
1.0,0.2,10.0,1.1362868547439575,23.761508879,
1.0,0.2,10.0,1.136308193206787,23.703189901,
1.0,0.2,10.0,1.1363097429275513,23.908556549,
1.0,0.2,10.0,1.1363070011138916,24.145627183,
2.0,0.2,10.0,1.1678320169448853,25.198802496,
2.0,0.2,10.0,1.1678489446640015,24.455070864,
2.0,0.2,10.0,1.1678634881973267,24.629696784,
2.0,0.2,10.0,1.1678415536880493,25.190789162,
2.0,0.2,10.0,1.1678520441055298,24.467694292,
5.0,0.2,10.0,1.1731683015823364,23.943327495,
5.0,0.2,10.0,1.1731781959533691,24.836332251,
5.0,0.2,10.0,1.1731857061386108,24.084609749,
5.0,0.2,10.0,1.1731820106506348,24.548754013,
5.0,0.2,10.0,1.1731916666030884,23.752972252,
10.0,0.2,10.0,1.1704694032669067,24.649652122,
10.0,0.2,10.0,1.170466423034668,25.155905521,
10.0,0.2,10.0,1.1704803705215454,24.346700633,
10.0,0.2,10.0,1.1704636812210083,25.384108895,
10.0,0.2,10.0,1.1704703569412231,24.300800857,
1.0,0.5,10.0,1.3514227867126465,22.340244794,
1.0,0.5,10.0,1.3514381647109985,22.792437555,
1.0,0.5,10.0,1.3513996601104736,22.63611333,
1.0,0.5,10.0,1.3514219522476196,22.970790967,
1.0,0.5,10.0,1.3514350652694702,22.373958146,
2.0,0.5,10.0,1.4393563270568848,23.086765977,
2.0,0.5,10.0,1.439349889755249,23.616531933,
2.0,0.5,10.0,1.4393563270568848,24.5952522,
2.0,0.5,10.0,1.4393837451934814,22.94432868,
2.0,0.5,10.0,1.4394079446792603,22.852781955,
5.0,0.5,10.0,1.4547282457351685,23.08171258,
5.0,0.5,10.0,1.454555869102478,24.021824416,
5.0,0.5,10.0,1.4547009468078613,23.192181051,
5.0,0.5,10.0,1.4545551538467407,23.99872712,
5.0,0.5,10.0,1.4546005725860596,24.401902774,
10.0,0.5,10.0,1.4473904371261597,24.213192883,
10.0,0.5,10.0,1.44731867313385,23.991599042,
10.0,0.5,10.0,1.447204351425171,23.902945429,
10.0,0.5,10.0,1.4473618268966675,24.666061277,
10.0,0.5,10.0,1.4473658800125122,24.337040004,
1.0,1.0,10.0,1.7114375829696655,22.391780834,
1.0,1.0,10.0,1.711437463760376,22.281901975,
1.0,1.0,10.0,1.7114949226379395,21.884938428,
1.0,1.0,10.0,1.7114955186843872,21.8809084,
1.0,1.0,10.0,1.7114417552947998,21.898227215,
2.0,1.0,10.0,1.9019577503204346,23.142745605,
2.0,1.0,10.0,1.9020252227783203,22.856912321,
2.0,1.0,10.0,1.9019640684127808,22.301784682,
2.0,1.0,10.0,1.901978611946106,22.310408936,
2.0,1.0,10.0,1.9019557237625122,22.925748422,
5.0,1.0,10.0,1.9365339279174805,23.267091645,
5.0,1.0,10.0,1.9364898204803467,22.572420122,
5.0,1.0,10.0,1.9365540742874146,22.488704058,
5.0,1.0,10.0,1.9363980293273926,23.592314191,
5.0,1.0,10.0,1.9364848136901855,22.576894396,
10.0,1.0,10.0,1.922281265258789,23.47476028,
10.0,1.0,10.0,1.9224473237991333,24.450065481,
10.0,1.0,10.0,1.922102928161621,23.33032224,
10.0,1.0,10.0,1.922370433807373,23.898582109,
10.0,1.0,10.0,1.9224717617034912,23.444940184,
