d,T,K,u,time_simu
1.0,0.1,10.0,1.769482014838713,176.344947366
1.0,0.1,10.0,1.7697003989396987,178.207788491
1.0,0.1,10.0,1.7696460177948832,183.943925685
1.0,0.1,10.0,1.770205388307237,176.806560678
1.0,0.1,10.0,1.7700624860068261,173.243086498
2.0,0.1,10.0,3.1319273115035813,219.723185567
2.0,0.1,10.0,3.130202231775622,220.691534483
2.0,0.1,10.0,3.132957065336158,217.43287493
2.0,0.1,10.0,3.133291082845215,217.262772231
2.0,0.1,10.0,3.1337012989191986,215.561563682
5.0,0.1,10.0,17.34126079979594,257.336032659
5.0,0.1,10.0,17.36254003248591,263.522866341
5.0,0.1,10.0,17.37830716281674,268.900701361
5.0,0.1,10.0,17.351314109533416,261.532717399
5.0,0.1,10.0,17.37533406656952,244.605576418
10.0,0.1,10.0,300.88378017668015,386.527875261
10.0,0.1,10.0,300.54978335522947,384.569730109
10.0,0.1,10.0,300.84006384871907,381.424770035
10.0,0.1,10.0,300.59622808157445,383.402219415
10.0,0.1,10.0,300.868599548939,390.407742653
1.0,0.2,10.0,1.7564651038895724,173.318168948
1.0,0.2,10.0,1.7559912771904251,180.691028277
1.0,0.2,10.0,1.7571087066394147,174.629077595
1.0,0.2,10.0,1.7563313757980608,177.901395198
1.0,0.2,10.0,1.7583421008173195,168.38352355
2.0,0.2,10.0,3.0905080692627047,227.124486016
2.0,0.2,10.0,3.080241424731807,215.971897108
2.0,0.2,10.0,3.0871807857983318,203.001133007
2.0,0.2,10.0,3.084944963958787,221.49073976
2.0,0.2,10.0,3.0859937478459436,228.152070553
5.0,0.2,10.0,16.68182791050354,285.09533794
5.0,0.2,10.0,16.704556943508496,278.944287987
5.0,0.2,10.0,16.658073029723678,283.043806852
5.0,0.2,10.0,16.705519689564415,270.786732842
5.0,0.2,10.0,16.686996021894643,264.807590706
10.0,0.2,10.0,275.93208916486674,405.275236775
10.0,0.2,10.0,278.0592157263863,415.158805098
10.0,0.2,10.0,277.64142209045406,426.787884953
10.0,0.2,10.0,276.8502915749058,427.686655785
10.0,0.2,10.0,277.5978633051409,429.961281017
1.0,0.5,10.0,1.7181306574822843,194.423042838
1.0,0.5,10.0,1.7202048748707182,196.010150084
1.0,0.5,10.0,1.719108250876934,191.320694194
