d,T,N,u,time_simu,ref_value
1.0,0.1,10.0,1.7682688236236572,70.005527289,1.7709573870444286
1.0,0.1,10.0,1.7665971517562866,68.045120444,1.7709573870444286
1.0,0.1,10.0,1.7666972875595093,67.030736453,1.7709573870444286
1.0,0.1,10.0,1.7685351371765137,66.478983081,1.7709573870444286
1.0,0.1,10.0,1.7666877508163452,65.848567092,1.7709573870444286
2.0,0.1,10.0,3.1214847564697266,66.355578142,3.1362900667272298
2.0,0.1,10.0,3.1208229064941406,67.515623883,3.1362900667272298
2.0,0.1,10.0,3.119401216506958,64.663573549,3.1362900667272298
2.0,0.1,10.0,3.1206271648406982,65.345419663,3.1362900667272298
2.0,0.1,10.0,3.119936943054199,64.251287102,3.1362900667272298
5.0,0.1,10.0,17.184091567993164,65.441048707,17.41969538820611
5.0,0.1,10.0,17.203861236572266,64.510046702,17.41969538820611
5.0,0.1,10.0,17.203140258789062,63.888400977,17.41969538820611
5.0,0.1,10.0,17.205339431762695,63.173015462,17.41969538820611
5.0,0.1,10.0,17.200586318969727,63.308964618,17.41969538820611
10.0,0.1,10.0,295.8653564453125,66.222273461,303.4457874178892
10.0,0.1,10.0,295.8797302246094,66.950328041,303.4457874178892
10.0,0.1,10.0,295.9660949707031,67.258762731,303.4457874178892
10.0,0.1,10.0,295.857666015625,65.950562978,303.4457874178892
10.0,0.1,10.0,295.9027404785156,65.326007958,303.4457874178892
1.0,0.2,10.0,1.7477742433547974,57.06368326,1.758206593371606
1.0,0.2,10.0,1.7495930194854736,56.122649141,1.758206593371606
1.0,0.2,10.0,1.750667929649353,55.219338633,1.758206593371606
1.0,0.2,10.0,1.746694803237915,54.447225086,1.758206593371606
1.0,0.2,10.0,1.7493174076080322,53.698371734,1.758206593371606
2.0,0.2,10.0,3.0626280307769775,55.403585437,3.0912904249753876
2.0,0.2,10.0,3.0370068550109863,55.393643208,3.0912904249753876
2.0,0.2,10.0,3.0557103157043457,54.236454816,3.0912904249753876
2.0,0.2,10.0,3.059027910232544,53.852633887,3.0912904249753876
2.0,0.2,10.0,3.0590951442718506,53.711122161,3.0912904249753876
5.0,0.2,10.0,16.38205337524414,54.618913766,16.801556694196968
5.0,0.2,10.0,16.406309127807617,54.127301256,16.801556694196968
5.0,0.2,10.0,16.37789535522461,55.188905016,16.801556694196968
5.0,0.2,10.0,16.376232147216797,54.02013893,16.801556694196968
5.0,0.2,10.0,16.379281997680664,52.534672392,16.801556694196968
10.0,0.2,10.0,268.3058166503906,55.283099257,282.29230734831486
10.0,0.2,10.0,268.2635192871094,56.401713017,282.29230734831486
10.0,0.2,10.0,268.149169921875,55.500382438,282.29230734831486
10.0,0.2,10.0,268.6994934082031,54.153647039,282.29230734831486
10.0,0.2,10.0,268.3089294433594,53.836778698,282.29230734831486
1.0,0.5,10.0,1.7015084028244019,48.263605533,1.722275707108827
1.0,0.5,10.0,1.700606346130371,48.143224603,1.722275707108827
1.0,0.5,10.0,1.697737216949463,47.845450721,1.722275707108827
1.0,0.5,10.0,1.7040306329727173,47.741192104,1.722275707108827
1.0,0.5,10.0,1.7077760696411133,48.120448609,1.722275707108827
2.0,0.5,10.0,2.8959617614746094,48.768509603,2.96623361129721
2.0,0.5,10.0,3.0585718154907227,48.573444193,2.96623361129721
2.0,0.5,10.0,2.60498046875,48.42526574,2.96623361129721
2.0,0.5,10.0,2.9073565006256104,48.362976295,2.96623361129721
2.0,0.5,10.0,2.891261339187622,48.121266401,2.96623361129721
5.0,0.5,10.0,14.240602493286133,48.939529284,15.153514863482872
5.0,0.5,10.0,14.189593315124512,48.476223819,15.153514863482872
5.0,0.5,10.0,14.170394897460938,48.080459635,15.153514863482872
5.0,0.5,10.0,14.23153305053711,47.478520745,15.153514863482872
5.0,0.5,10.0,14.159805297851562,46.983728858,15.153514863482872
10.0,0.5,10.0,201.5657958984375,52.243832378,229.62901271779626
10.0,0.5,10.0,201.4463348388672,52.009144235,229.62901271779626
10.0,0.5,10.0,202.00360107421875,48.880149684,229.62901271779626
10.0,0.5,10.0,201.1859130859375,48.681804811,229.62901271779626
10.0,0.5,10.0,201.4915771484375,51.718086099,229.62901271779626
1.0,0.1,10.0,1.7691103219985962,44.305808751,1.7709573870444286
1.0,0.1,10.0,1.7665188312530518,44.044860519,1.7709573870444286
1.0,0.1,10.0,1.756773591041565,43.903361753,1.7709573870444286
1.0,0.1,10.0,1.76490318775177,43.837092068,1.7709573870444286
1.0,0.1,10.0,1.767967700958252,43.658070883,1.7709573870444286
2.0,0.1,10.0,3.119997978210449,44.862143566,3.1362900667272298
2.0,0.1,10.0,3.1229398250579834,45.261568498,3.1362900667272298
2.0,0.1,10.0,3.119072675704956,44.939195894,3.1362900667272298
2.0,0.1,10.0,3.1214256286621094,45.124052665,3.1362900667272298
2.0,0.1,10.0,3.1220006942749023,44.82493896,3.1362900667272298
5.0,0.1,10.0,17.200965881347656,45.873863674,17.41969538820611
5.0,0.1,10.0,17.166776657104492,46.020478712,17.41969538820611
5.0,0.1,10.0,17.2050838470459,46.271161932,17.41969538820611
5.0,0.1,10.0,17.204877853393555,46.243063565,17.41969538820611
5.0,0.1,10.0,17.19678497314453,45.261713432,17.41969538820611
10.0,0.1,10.0,295.87054443359375,49.825726304,303.4457874178892
10.0,0.1,10.0,295.8511657714844,47.663067361,303.4457874178892
10.0,0.1,10.0,295.9618835449219,46.976311002,303.4457874178892
10.0,0.1,10.0,295.80767822265625,47.363335659,303.4457874178892
10.0,0.1,10.0,295.89697265625,46.924653897,303.4457874178892
1.0,0.2,10.0,1.750089168548584,42.985476095,1.758206593371606
1.0,0.2,10.0,1.7504254579544067,42.777843697,1.758206593371606
1.0,0.2,10.0,1.7505701780319214,45.089751916,1.758206593371606
1.0,0.2,10.0,1.7496753931045532,42.334548436,1.758206593371606
1.0,0.2,10.0,1.749208688735962,42.459850678,1.758206593371606
2.0,0.2,10.0,3.0609688758850098,46.224113074,3.0912904249753876
2.0,0.2,10.0,3.0655810832977295,43.720922441,3.0912904249753876
2.0,0.2,10.0,3.0600337982177734,43.17473149,3.0912904249753876
2.0,0.2,10.0,3.0596089363098145,42.99102642,3.0912904249753876
2.0,0.2,10.0,3.0647659301757812,46.108218912,3.0912904249753876
5.0,0.2,10.0,16.3970947265625,44.003394049,16.801556694196968
5.0,0.2,10.0,16.361766815185547,46.665115424,16.801556694196968
5.0,0.2,10.0,16.381593704223633,44.543169452,16.801556694196968
5.0,0.2,10.0,16.389677047729492,44.539590165,16.801556694196968
5.0,0.2,10.0,16.392900466918945,45.345786751,16.801556694196968
10.0,0.2,10.0,268.2532653808594,46.008704283,282.29230734831486
10.0,0.2,10.0,268.2457580566406,46.256666646,282.29230734831486
10.0,0.2,10.0,268.26214599609375,46.748004362,282.29230734831486
10.0,0.2,10.0,268.3169250488281,44.715475688,282.29230734831486
10.0,0.2,10.0,268.39410400390625,44.335666539,282.29230734831486
1.0,0.5,10.0,1.6974329948425293,42.477867206,1.722275707108827
1.0,0.5,10.0,1.6991466283798218,44.115218148,1.722275707108827
1.0,0.5,10.0,1.7000601291656494,42.3057925,1.722275707108827
1.0,0.5,10.0,1.71243417263031,40.780075688,1.722275707108827
1.0,0.5,10.0,1.700204610824585,40.784930784,1.722275707108827
2.0,0.5,10.0,2.8922574520111084,42.300896531,2.96623361129721
2.0,0.5,10.0,2.8926830291748047,42.701210914,2.96623361129721
2.0,0.5,10.0,2.890861988067627,42.000084089,2.96623361129721
2.0,0.5,10.0,2.88649845123291,41.823496871,2.96623361129721
2.0,0.5,10.0,2.8933420181274414,44.461313184,2.96623361129721
