d,T,N,u,time_simu,ref_value
1.0,0.2,10.0,0.9873943417316299,266.037749927,
1.0,0.2,10.0,0.997376317851444,266.926863979,
1.0,0.2,10.0,0.9945140923014141,267.337774127,
1.0,0.2,10.0,1.001747758435917,268.936040035,
1.0,0.2,10.0,0.9873491984695019,295.140213746,
1.0,0.5,10.0,0.9904619744906202,259.421830368,
1.0,0.5,10.0,0.9907015020024899,278.268837728,
1.0,0.5,10.0,0.9851553467726102,263.823615799,
1.0,0.5,10.0,0.9887146899243383,262.693600006,
1.0,0.5,10.0,0.9851325278107264,284.609157602,
1.0,1.0,10.0,0.9826769060445423,188.716295385,
1.0,1.0,10.0,0.9844803132409412,187.215310459,
1.0,1.0,10.0,0.9794402920538474,195.769862525,
1.0,1.0,10.0,0.9768440025292628,202.67214682,
1.0,1.0,10.0,0.9844885859026047,189.086402996,
2.0,0.2,10.0,0.9852480352010886,296.345698515,
2.0,0.2,10.0,0.9876807519555726,304.721771713,
2.0,0.2,10.0,0.9811798007613064,299.295197433,
2.0,0.2,10.0,0.9834961358512009,324.016780123,
2.0,0.2,10.0,0.9907550163610542,304.00753096,
2.0,0.5,10.0,0.9755134077972814,294.192725678,
2.0,0.5,10.0,0.9699810805957262,304.923416905,
2.0,0.5,10.0,0.9760355372563966,297.614490499,
2.0,0.5,10.0,0.9717118623809932,307.479131465,
2.0,0.5,10.0,0.980712349909521,295.581442285,
2.0,1.0,10.0,0.9431031802044556,298.134547764,
2.0,1.0,10.0,0.9653433293182437,258.31678883,
2.0,1.0,10.0,0.9519978690220996,290.322840592,
2.0,1.0,10.0,0.9741585242036254,267.558132609,
2.0,1.0,10.0,0.9600430268490662,293.048060784,
5.0,0.2,10.0,0.9718062482660452,301.421325316,
5.0,0.2,10.0,0.9743867609192017,332.855463931,
5.0,0.2,10.0,0.9616243940279231,300.812780617,
5.0,0.2,10.0,0.9710138732435843,303.994701467,
5.0,0.2,10.0,0.9731142637549833,294.648019555,
5.0,0.5,10.0,0.9402992062253979,297.144339287,
5.0,0.5,10.0,0.9355130755750717,287.962734005,
5.0,0.5,10.0,0.9363767895892374,313.975286504,
5.0,0.5,10.0,0.9434433754572694,289.201297695,
5.0,0.5,10.0,0.945594609332246,280.519043585,
5.0,1.0,10.0,0.915342420271142,283.135597437,
5.0,1.0,10.0,0.9124122873288064,277.252082878,
5.0,1.0,10.0,0.916459187866877,284.189304424,
5.0,1.0,10.0,0.9116368709605488,277.738669729,
5.0,1.0,10.0,0.9184222021562681,285.151938479,
10.0,0.2,10.0,0.9633507092538417,491.970026876,
10.0,0.2,10.0,0.9735777383972293,494.757294932,
10.0,0.2,10.0,0.976023303926061,493.467343021,
10.0,0.2,10.0,0.9759666940944483,504.653581573,
10.0,0.2,10.0,1.0043172931302389,501.142513691,
10.0,0.5,10.0,0.8887651793370532,485.382713821,
10.0,0.5,10.0,0.9024274607860757,517.04721947,
10.0,0.5,10.0,0.9099385142237053,500.905114876,
10.0,0.5,10.0,0.8768646422527937,497.41592171,
10.0,0.5,10.0,0.8974544140890716,560.262566202,
10.0,1.0,10.0,0.8526975769915129,530.18944956,
10.0,1.0,10.0,0.8574857512066781,518.267887686,
10.0,1.0,10.0,0.8320180252598154,532.205192116,
10.0,1.0,10.0,0.8247129044043944,516.38901839,
10.0,1.0,10.0,0.8373656833595531,582.496037258,
