d,T,K,u,time_simu
1.0,0.2,10.0,0.9929492802515005,172.886328492
1.0,0.2,10.0,0.9934256823153991,172.481123756
1.0,0.2,10.0,0.9930970904978677,175.578306266
1.0,0.2,10.0,0.9930343426556278,175.179405158
1.0,0.2,10.0,0.993270402548343,171.048152576
1.0,0.5,10.0,0.9891593326190058,172.372009765
1.0,0.5,10.0,0.9876126531404582,170.777905562
1.0,0.5,10.0,0.987599508261641,175.247171075
1.0,0.5,10.0,0.9847473398756391,175.664423744
1.0,0.5,10.0,0.9867963347069079,174.362835134
1.0,1.0,10.0,0.9719435411625885,162.950376441
1.0,1.0,10.0,0.9689358468805752,171.817093964
1.0,1.0,10.0,0.9894695139551383,171.894585204
1.0,1.0,10.0,0.990924859408115,165.603772704
1.0,1.0,10.0,0.993350953389787,172.482363616
2.0,0.2,10.0,0.9864912882051471,174.345473573
2.0,0.2,10.0,0.9865704829193293,173.079823784
2.0,0.2,10.0,0.986561855427393,167.889465957
2.0,0.2,10.0,0.9867998474706718,173.755999779
2.0,0.2,10.0,0.9868057708225809,176.154320746
2.0,0.5,10.0,0.9781320906554246,177.94107258
2.0,0.5,10.0,0.9788150469713335,171.488318595
2.0,0.5,10.0,0.9729122259868074,176.994079149
2.0,0.5,10.0,0.9724714160551887,178.397362658
2.0,0.5,10.0,0.9762204797261292,170.888115846
2.0,1.0,10.0,0.9670857662675879,173.404779437
2.0,1.0,10.0,0.9648115104795401,177.331246683
2.0,1.0,10.0,0.9686518616545745,176.215445308
2.0,1.0,10.0,0.9907492273687334,179.145473164
2.0,1.0,10.0,0.9574198710875038,177.884080856
5.0,0.2,10.0,0.9708383011590914,208.270155804
5.0,0.2,10.0,0.9709353391543898,205.828997427
5.0,0.2,10.0,0.9702091912964588,211.767565695
5.0,0.2,10.0,0.9711941083604089,208.563415707
5.0,0.2,10.0,0.9714070890705155,205.093879586
5.0,0.5,10.0,0.9404444190513487,185.117912663
5.0,0.5,10.0,0.9434773597054059,206.07588147
5.0,0.5,10.0,0.9396524598160774,214.424363343
5.0,0.5,10.0,0.9449252034363702,195.156843973
5.0,0.5,10.0,0.946078736101176,200.045373989
5.0,1.0,10.0,0.9259995046825442,199.364422633
5.0,1.0,10.0,0.9234964206495275,202.215207261
5.0,1.0,10.0,0.9463395138062256,199.953939804
5.0,1.0,10.0,0.8909860273402085,203.710699985
5.0,1.0,10.0,0.895312368540804,190.968788815
10.0,0.2,10.0,0.9500258663369778,233.088529838
10.0,0.2,10.0,0.9515679970193769,235.979241639
10.0,0.2,10.0,0.9523199468714737,237.722074343
10.0,0.2,10.0,0.9504881769757857,237.019803147
10.0,0.2,10.0,0.95204303366828,231.202849047
10.0,0.5,10.0,0.9045465128732484,236.021272951
10.0,0.5,10.0,0.9030578864536448,236.129901479
10.0,0.5,10.0,0.9053251340182229,236.482162696
10.0,0.5,10.0,0.8993673429426416,237.2195359
10.0,0.5,10.0,0.9010221373914131,238.89263529
10.0,1.0,10.0,0.8745666407883225,231.235004655
10.0,1.0,10.0,0.8753572249020026,221.403597245
10.0,1.0,10.0,0.899724773774091,226.922654603
10.0,1.0,10.0,0.8437532014097371,234.356651874
10.0,1.0,10.0,0.8390998855889013,240.70958464
