d,T,N,u,time_simu,ref_value
1.0,0.2,10.0,0.9966511130332947,19.038226094,
1.0,0.2,10.0,0.9992737770080566,5.283092305,
1.0,0.2,10.0,0.9989386200904846,5.15020378,
1.0,0.2,10.0,0.998521625995636,5.158408261,
1.0,0.2,10.0,0.998767614364624,5.030824362,
1.0,0.5,10.0,0.9990434646606445,5.592274994,
1.0,0.5,10.0,0.998953640460968,5.568894574,
1.0,0.5,10.0,0.9989026188850403,6.890468711,
1.0,0.5,10.0,0.9991692900657654,6.514294953,
1.0,0.5,10.0,1.0034985542297363,34.966532901,
1.0,1.0,10.0,0.9993847608566284,8.17429726,
1.0,1.0,10.0,0.9995157122612,38.049697488,
1.0,1.0,10.0,0.9996715784072876,46.853350916,
1.0,1.0,10.0,1.001809000968933,44.415006372,
1.0,1.0,10.0,1.0042001008987427,21.90208235,
2.0,0.2,10.0,0.9978026151657104,5.673320881,
2.0,0.2,10.0,1.0080453157424927,14.284476372,
2.0,0.2,10.0,0.9985533356666565,9.523851574,
2.0,0.2,10.0,0.9983928799629211,7.838788013,
2.0,0.2,10.0,0.9973247051239014,5.694541614,
2.0,0.5,10.0,0.9947721362113953,22.954505743,
2.0,0.5,10.0,0.9912513494491577,25.061489766,
2.0,0.5,10.0,0.9983801245689392,20.294284133,
2.0,0.5,10.0,0.9988102912902832,29.214887585,
2.0,0.5,10.0,0.9990781545639038,17.85225967,
2.0,1.0,10.0,0.9968670010566711,84.719160745,
2.0,1.0,10.0,0.999603807926178,32.794617057,
2.0,1.0,10.0,1.004361629486084,85.788416603,
2.0,1.0,10.0,0.9988491535186768,43.425803838,
2.0,1.0,10.0,1.0040932893753052,104.500331836,
5.0,0.2,10.0,0.9966373443603516,7.03903067,
5.0,0.2,10.0,0.997442901134491,9.934314756,
5.0,0.2,10.0,0.9971640110015869,8.656965912,
5.0,0.2,10.0,0.996458113193512,7.032724362,
5.0,0.2,10.0,0.9968641400337219,10.307820305,
5.0,0.5,10.0,0.99601811170578,38.841028772,
5.0,0.5,10.0,0.9949378967285156,44.415400632,
5.0,0.5,10.0,0.9961921572685242,39.13117343,
5.0,0.5,10.0,0.9827602505683899,100.577471368,
5.0,0.5,10.0,0.9974697232246399,61.379471933,
5.0,1.0,10.0,1.0109668970108032,100.800803351,
5.0,1.0,10.0,0.9920583963394165,90.503256357,
5.0,1.0,10.0,0.9953289031982422,99.208513152,
5.0,1.0,10.0,0.9946466088294983,90.309082846,
5.0,1.0,10.0,0.9970544576644897,79.645153225,
10.0,0.2,10.0,0.995535135269165,9.070585417,
10.0,0.2,10.0,0.9946985244750977,8.075960413,
10.0,0.2,10.0,0.9954492449760437,18.235126861,
10.0,0.2,10.0,0.9956029057502747,38.103523273,
10.0,0.2,10.0,0.9956629872322083,18.252402133,
10.0,0.5,10.0,0.9943862557411194,100.55160578,
10.0,0.5,10.0,1.0019612312316895,99.079005733,
10.0,0.5,10.0,0.9942899346351624,88.570080783,
10.0,0.5,10.0,0.9914141297340393,89.58555354,
10.0,0.5,10.0,0.9880269169807434,86.68936488,
10.0,1.0,10.0,0.9988226890563965,94.376519922,
10.0,1.0,10.0,0.9886931777000427,89.305768478,
10.0,1.0,10.0,0.9808506369590759,83.601376141,
10.0,1.0,10.0,0.9990142583847046,91.385207621,
10.0,1.0,10.0,0.9930271506309509,81.908663841,
