d,T,K,u,time_simu
1.0,0.2,10.0,0.9995798877399423,0.42451071
1.0,0.2,10.0,0.9995701949818825,0.005758008
1.0,0.2,10.0,0.999602525555124,0.013699001
1.0,0.2,10.0,0.9995906370426121,0.005502798
1.0,0.2,10.0,0.9996173202003539,0.005521288
1.0,0.5,10.0,0.9991794335229311,0.00456318
1.0,0.5,10.0,0.9992064389173484,0.004615449
1.0,0.5,10.0,0.999139981233405,0.006175006
1.0,0.5,10.0,0.9992112279083409,0.005912727
1.0,0.5,10.0,0.9992941857099209,0.004935997
1.0,1.0,10.0,0.998472849419976,0.005484527
1.0,1.0,10.0,0.9995628918571106,0.005852965
1.0,1.0,10.0,0.9990135154436249,0.010037093
1.0,1.0,10.0,0.998462458816235,0.006318373
1.0,1.0,10.0,0.9993102659092234,0.005086956
2.0,0.2,10.0,0.9991443788498968,0.005240905
2.0,0.2,10.0,0.9991570920176555,0.005012647
2.0,0.2,10.0,0.9991637023124472,0.004873195
2.0,0.2,10.0,0.9991940698107864,0.005286785
2.0,0.2,10.0,0.9992013746787933,0.004898226
2.0,0.5,10.0,0.9984709506332317,0.00674928
2.0,0.5,10.0,0.9986946668905757,0.00635899
2.0,0.5,10.0,0.9984765122761803,0.00628135
2.0,0.5,10.0,0.9983463093583859,0.005511542
2.0,0.5,10.0,0.9984534530200999,0.006581399
2.0,1.0,10.0,0.9970388719586867,0.006721047
2.0,1.0,10.0,0.9983170255582042,0.005921959
2.0,1.0,10.0,0.9980568677313065,0.00839697
2.0,1.0,10.0,0.9989274598980779,0.006884046
2.0,1.0,10.0,0.9985288257955904,0.005817879
5.0,0.2,10.0,0.9979807629532129,0.008990246
5.0,0.2,10.0,0.9979089604340943,0.007214623
5.0,0.2,10.0,0.9979696574192709,0.009952674
5.0,0.2,10.0,0.9979798443164843,0.0080966
5.0,0.2,10.0,0.9979649044023564,0.007815871
5.0,0.5,10.0,0.9964806691843214,0.010001483
5.0,0.5,10.0,0.9960603653339548,0.006014217
5.0,0.5,10.0,0.9960992419474479,0.008594817
5.0,0.5,10.0,0.9963533000855926,0.009954162
5.0,0.5,10.0,0.9962003866709654,0.012464043
5.0,1.0,10.0,0.9938242990707078,0.009130775
5.0,1.0,10.0,0.9938487534759125,0.007114763
5.0,1.0,10.0,0.9954829974591457,0.008329234
5.0,1.0,10.0,0.9954808936998983,0.008295077
5.0,1.0,10.0,0.9968035355861063,0.008045074
10.0,0.2,10.0,0.9958647908031609,0.010307881
10.0,0.2,10.0,0.9958484224729978,0.009759324
10.0,0.2,10.0,0.995858850328504,0.014212839
10.0,0.2,10.0,0.9959463921754669,0.010092844
10.0,0.2,10.0,0.9959616202174073,0.009734157
10.0,0.5,10.0,0.992501907205271,0.009992941
10.0,0.5,10.0,0.9923309572363248,0.011020189
10.0,0.5,10.0,0.9924199744570568,0.010567242
10.0,0.5,10.0,0.9924310299136896,0.010035496
10.0,0.5,10.0,0.9922976620722951,0.010944022
10.0,1.0,10.0,0.9914878931371066,0.010564544
10.0,1.0,10.0,0.991567126062518,0.009970367
10.0,1.0,10.0,0.9931431479556099,0.010511685
10.0,1.0,10.0,0.9898699661072661,0.010214828
10.0,1.0,10.0,0.9942947582342124,0.010194551
