d,T,N,u,time_simu,ref_value
1.0,0.2,10.0,1.1741536855697632,149.536672082,
1.0,0.2,10.0,1.1735484600067139,27.510582131,
1.0,0.2,10.0,1.1736522912979126,27.58981841,
1.0,0.2,10.0,1.1744179725646973,27.70396182,
1.0,0.2,10.0,1.1736458539962769,25.678108375,
1.0,0.5,10.0,1.474799633026123,101.523649754,
1.0,0.5,10.0,1.4692939519882202,93.869522087,
1.0,0.5,10.0,1.469648838043213,32.334021428,
1.0,0.5,10.0,1.4694781303405762,35.934722954,
1.0,0.5,10.0,1.4692492485046387,29.921247132,
1.0,1.0,10.0,2.0478742122650146,315.270191165,
1.0,1.0,10.0,2.049921989440918,128.841963228,
1.0,1.0,10.0,2.0497567653656006,68.19905506,
1.0,1.0,10.0,2.047956705093384,215.36014978,
1.0,1.0,10.0,2.0482280254364014,63.457283353,
2.0,0.2,10.0,1.2098867893218994,26.871387176,
2.0,0.2,10.0,1.2094593048095703,25.046815421,
2.0,0.2,10.0,1.2102413177490234,23.298770353,
2.0,0.2,10.0,1.2186753749847412,128.229403567,
2.0,0.2,10.0,1.210146427154541,26.657590172,
2.0,0.5,10.0,1.582992672920227,302.168082446,
2.0,0.5,10.0,1.57455313205719,97.170538404,
2.0,0.5,10.0,1.601889967918396,60.820924351,
2.0,0.5,10.0,1.5943799018859863,61.704966107,
2.0,0.5,10.0,1.5939671993255615,268.918905359,
2.0,1.0,10.0,2.4582455158233643,296.556592975,
2.0,1.0,10.0,2.4856507778167725,297.217185275,
2.0,1.0,10.0,2.469738245010376,295.969415808,
2.0,1.0,10.0,2.460726737976074,295.876687599,
2.0,1.0,10.0,2.467148542404175,280.193386283,
5.0,0.2,10.0,1.2159998416900635,36.029252838,
5.0,0.2,10.0,1.215991735458374,28.832726184,
5.0,0.2,10.0,1.2160325050354004,27.192860459,
5.0,0.2,10.0,1.2206767797470093,28.631274571,
5.0,0.2,10.0,1.2170838117599487,25.29286084,
5.0,0.5,10.0,1.6205168962478638,262.620583608,
5.0,0.5,10.0,1.6194238662719727,287.162978683,
5.0,0.5,10.0,1.6289366483688354,284.543068272,
5.0,0.5,10.0,1.6314715147018433,280.363091484,
5.0,0.5,10.0,1.6189693212509155,251.81701548,
5.0,1.0,10.0,2.563331127166748,277.380988306,
5.0,1.0,10.0,2.5503294467926025,274.937308484,
5.0,1.0,10.0,2.566775321960449,273.741840686,
5.0,1.0,10.0,2.586134910583496,271.471301448,
5.0,1.0,10.0,2.543168306350708,269.699370441,
10.0,0.2,10.0,1.2129288911819458,28.567711889,
10.0,0.2,10.0,1.2177820205688477,60.750782197,
10.0,0.2,10.0,1.2126647233963013,24.969071097,
10.0,0.2,10.0,1.2140777111053467,281.575812437,
10.0,0.2,10.0,1.1886343955993652,280.659766267,
10.0,0.5,10.0,1.6167716979980469,278.783873033,
10.0,0.5,10.0,1.61284601688385,274.750741404,
10.0,0.5,10.0,1.6140023469924927,268.618512373,
10.0,0.5,10.0,1.6326338052749634,266.669893431,
10.0,0.5,10.0,1.635227084159851,266.904802485,
10.0,1.0,10.0,2.553795099258423,264.347095454,
10.0,1.0,10.0,2.501640558242798,264.169091899,
10.0,1.0,10.0,2.5300121307373047,259.669313888,
10.0,1.0,10.0,2.5336883068084717,269.477477336,
10.0,1.0,10.0,2.5171329975128174,258.310140289,
