d,T,K,u,time_simu
1.0,0.2,10.0,1.1761478979533058,26.613204726
1.0,0.2,10.0,1.1770618695487423,26.254893504
1.0,0.2,10.0,1.1755469981599935,24.40760801
1.0,0.2,10.0,1.1761269338457372,25.902005303
1.0,0.2,10.0,1.1776268904756637,25.702564182
1.0,0.5,10.0,1.4864548908034516,26.610352433
1.0,0.5,10.0,1.4836817672557339,26.282810944
1.0,0.5,10.0,1.4774552645531058,25.173808275
1.0,0.5,10.0,1.4820434158496294,25.780493327
1.0,0.5,10.0,1.4835374601733364,25.302101219
1.0,1.0,10.0,2.0965493481425113,25.032780579
1.0,1.0,10.0,2.094585844641803,25.868793228
1.0,1.0,10.0,2.103984536819398,23.51399766
1.0,1.0,10.0,2.081576340137836,24.858566718
1.0,1.0,10.0,2.1028880743104432,27.030969195
2.0,0.2,10.0,1.2126571222066165,26.13845893
2.0,0.2,10.0,1.2161407743728567,25.828337728
2.0,0.2,10.0,1.2151345064310406,24.802147307
2.0,0.2,10.0,1.2145837571797595,26.196784951
2.0,0.2,10.0,1.2147252409235232,26.051599337
2.0,0.5,10.0,1.6288976240296726,26.32788237
2.0,0.5,10.0,1.6253388179269836,23.108117818
2.0,0.5,10.0,1.6155021233138855,24.599564066
2.0,0.5,10.0,1.6192612018126749,27.05235684
2.0,0.5,10.0,1.6215776113473315,24.599567971
2.0,1.0,10.0,2.625154048882896,25.166841236
2.0,1.0,10.0,2.5694426437546034,25.803198236
2.0,1.0,10.0,2.616705683035084,24.019705513
2.0,1.0,10.0,2.6103103799111276,26.40853838
2.0,1.0,10.0,2.695805275468886,25.988489764
5.0,0.2,10.0,1.2200194438194403,55.671242389
5.0,0.2,10.0,1.220567663113793,51.880425569
5.0,0.2,10.0,1.2220223711293456,56.13076064
5.0,0.2,10.0,1.2215226014267546,54.184715918
5.0,0.2,10.0,1.221655872817189,57.265120119
5.0,0.5,10.0,1.6421343321857005,57.098850065
5.0,0.5,10.0,1.6516692201441634,56.051284075
5.0,0.5,10.0,1.6477158997448311,54.37173358
5.0,0.5,10.0,1.6444714887547291,55.938289827
5.0,0.5,10.0,1.6395625905762643,58.999214282
5.0,1.0,10.0,2.664744657707592,59.581815181
5.0,1.0,10.0,2.7521811354236583,57.41955311
5.0,1.0,10.0,2.6841043938112277,55.166552584
5.0,1.0,10.0,2.7507556594017823,58.082696919
5.0,1.0,10.0,2.6860760997955273,54.71435339
10.0,0.2,10.0,1.218335875795368,66.48005475
10.0,0.2,10.0,1.2186491558316401,65.866454554
10.0,0.2,10.0,1.219263290260627,65.063897905
10.0,0.2,10.0,1.2175735284627984,65.417933259
10.0,0.2,10.0,1.2195042528531654,67.341455006
10.0,0.5,10.0,1.6485075403145468,66.877033276
10.0,0.5,10.0,1.6387780993101562,68.08340254
10.0,0.5,10.0,1.643935041418,67.952916741
10.0,0.5,10.0,1.6332263601954393,65.299555748
10.0,0.5,10.0,1.637795394188437,66.731530866
10.0,1.0,10.0,2.6835175694314675,65.613878489
10.0,1.0,10.0,2.7445078431532934,67.926302166
10.0,1.0,10.0,2.6628641672100626,65.366549871
10.0,1.0,10.0,2.732565994661565,68.321261587
10.0,1.0,10.0,2.563938451355334,69.261630243
