d,T,N,u,time_simu,ref_value
1.0,0.2,10.0,1.1476502418518066,28.47876304,
1.0,0.2,10.0,1.147619366645813,21.780551732,
1.0,0.2,10.0,1.1476774215698242,21.810686526,
1.0,0.2,10.0,1.1476682424545288,21.650876245,
1.0,0.2,10.0,1.147614598274231,21.7198329,
1.0,0.5,10.0,1.3826467990875244,21.603318592,
1.0,0.5,10.0,1.3826276063919067,21.993386715,
1.0,0.5,10.0,1.3826590776443481,21.700876789,
1.0,0.5,10.0,1.3826664686203003,21.768984926,
1.0,0.5,10.0,1.382706642150879,21.460980088,
1.0,1.0,10.0,1.7788642644882202,28.400350948,
1.0,1.0,10.0,1.7790958881378174,28.563591234,
1.0,1.0,10.0,1.7790522575378418,28.401755321,
1.0,1.0,10.0,1.7790781259536743,28.373810749,
1.0,1.0,10.0,1.7791410684585571,28.041949855,
2.0,0.2,10.0,1.1713849306106567,21.897979447,
2.0,0.2,10.0,1.171373963356018,22.155732098,
2.0,0.2,10.0,1.1713813543319702,22.823210652,
2.0,0.2,10.0,1.171393871307373,22.01259674,
2.0,0.2,10.0,1.171386957168579,22.146300058,
2.0,0.5,10.0,1.4495376348495483,28.958632181,
2.0,0.5,10.0,1.449479579925537,29.076169185,
2.0,0.5,10.0,1.4493751525878906,29.185929013,
2.0,0.5,10.0,1.4492039680480957,29.821301921,
2.0,0.5,10.0,1.449379324913025,29.466785382,
2.0,1.0,10.0,1.9235901832580566,29.616402096,
2.0,1.0,10.0,1.9241583347320557,29.673700097,
2.0,1.0,10.0,1.9241222143173218,29.656777504,
2.0,1.0,10.0,1.9239063262939453,30.152833059,
2.0,1.0,10.0,1.924057126045227,29.750993566,
5.0,0.2,10.0,1.1732443571090698,23.474708726,
5.0,0.2,10.0,1.1732596158981323,23.797676991,
5.0,0.2,10.0,1.1732587814331055,23.63414288,
5.0,0.2,10.0,1.1732301712036133,23.585635439,
5.0,0.2,10.0,1.1732569932937622,23.57055076,
5.0,0.5,10.0,1.4549221992492676,31.218433973,
5.0,0.5,10.0,1.4547702074050903,31.370007536,
5.0,0.5,10.0,1.4549181461334229,31.609513115,
5.0,0.5,10.0,1.4549851417541504,31.236417402,
5.0,0.5,10.0,1.45482337474823,31.320574435,
5.0,1.0,10.0,1.937247395515442,31.040047656,
5.0,1.0,10.0,1.9371871948242188,31.00640799,
5.0,1.0,10.0,1.9372150897979736,30.923553123,
5.0,1.0,10.0,1.9370579719543457,30.901043809,
5.0,1.0,10.0,1.9372535943984985,31.32487334,
10.0,0.2,10.0,1.1703771352767944,34.675046904,
10.0,0.2,10.0,1.1704140901565552,34.181813799,
10.0,0.2,10.0,1.1703907251358032,34.6207747,
10.0,0.2,10.0,1.1704304218292236,34.148518273,
10.0,0.2,10.0,1.1704719066619873,34.154015748,
10.0,0.5,10.0,1.447026014328003,34.397341345,
10.0,0.5,10.0,1.447095513343811,33.970758133,
10.0,0.5,10.0,1.447149395942688,33.919985258,
10.0,0.5,10.0,1.4473936557769775,33.907706834,
10.0,0.5,10.0,1.4472075700759888,33.923356633,
10.0,1.0,10.0,1.921985149383545,43.954701089,
10.0,1.0,10.0,1.9216645956039429,33.580484209,
10.0,1.0,10.0,1.9209920167922974,136.779170073,
10.0,1.0,10.0,1.9220216274261475,34.037874844,
10.0,1.0,10.0,1.9217952489852905,140.766385186,
