d,T,K,u,time_simu
1.0,0.2,10.0,1.149988615166611,28.182393254
1.0,0.2,10.0,1.1492797629783325,28.377180014
1.0,0.2,10.0,1.1496055757553894,28.375805173
1.0,0.2,10.0,1.1497082448022615,28.938934719
1.0,0.2,10.0,1.1496740269921972,28.480441149
1.0,0.5,10.0,1.3897521453215713,26.878939684
1.0,0.5,10.0,1.3891818106000149,26.446486025
1.0,0.5,10.0,1.3902037919169978,26.721729558
1.0,0.5,10.0,1.3894499824203175,27.730356381
1.0,0.5,10.0,1.3914664375207693,26.475852791
1.0,1.0,10.0,1.7889510117502638,28.583088165
1.0,1.0,10.0,1.788067935036624,26.885512663
1.0,1.0,10.0,1.7901046002147556,26.367134913
1.0,1.0,10.0,1.7888773623653038,28.153225354
1.0,1.0,10.0,1.7919899018968892,28.282496024
2.0,0.2,10.0,1.173387996786871,29.3711953
2.0,0.2,10.0,1.1730737513820526,28.496914794
2.0,0.2,10.0,1.1731563615577765,27.186998894
2.0,0.2,10.0,1.1735730437150427,27.305245116
2.0,0.2,10.0,1.1733320862660888,27.080617575
2.0,0.5,10.0,1.458857569657054,27.032164914
2.0,0.5,10.0,1.460580621360089,26.679461196
2.0,0.5,10.0,1.4609376274355483,26.574114806
2.0,0.5,10.0,1.458097321245266,28.410585106
2.0,0.5,10.0,1.4580591010420476,26.78343193
2.0,1.0,10.0,1.9338826190610263,30.119711224
2.0,1.0,10.0,1.9317545538837826,26.464599582
2.0,1.0,10.0,1.9434014763392837,26.939347716
2.0,1.0,10.0,1.9379524641079002,26.71004279
2.0,1.0,10.0,1.9354799318921931,26.425678231
5.0,0.2,10.0,1.1758423259810495,57.360358727
5.0,0.2,10.0,1.1763648312370503,59.242510222
5.0,0.2,10.0,1.1757978629431354,56.469324634
5.0,0.2,10.0,1.1758001458226215,57.712492412
5.0,0.2,10.0,1.1759144630410676,56.525555355
5.0,0.5,10.0,1.464109455655456,55.96751259
5.0,0.5,10.0,1.4657514491167358,58.195106709
5.0,0.5,10.0,1.465758271334691,58.368419614
5.0,0.5,10.0,1.465055092174376,58.424879069
5.0,0.5,10.0,1.4652914625217934,59.564287123
5.0,1.0,10.0,1.9527600296789456,56.734735282
5.0,1.0,10.0,1.9451098502397552,59.06976734
5.0,1.0,10.0,1.9575379600894771,58.903980794
5.0,1.0,10.0,1.9566623964405567,56.797671042
5.0,1.0,10.0,1.9517099708273289,58.519396692
10.0,0.2,10.0,1.1726642634137927,66.69161961
10.0,0.2,10.0,1.1724831991009506,67.391351732
10.0,0.2,10.0,1.1724943185078784,64.615242703
10.0,0.2,10.0,1.172824931970696,67.860259756
10.0,0.2,10.0,1.1728423640639813,67.036730635
10.0,0.5,10.0,1.4558713572663002,67.295211228
10.0,0.5,10.0,1.453600213597554,64.792287949
10.0,0.5,10.0,1.4602943985550223,65.490114222
10.0,0.5,10.0,1.4569822110429163,66.373939835
10.0,0.5,10.0,1.460127817013492,67.84312269
10.0,1.0,10.0,1.946193521934441,69.860288121
10.0,1.0,10.0,1.9400782925068625,67.919495751
10.0,1.0,10.0,1.9375471471285928,67.709016295
10.0,1.0,10.0,1.9296980364152398,67.1475085
10.0,1.0,10.0,1.9350321791905594,69.307249301
