d,T,N,u,time_simu,ref_value
1.0,0.2,10.0,1.7619429008730356,192.860772431,1.758206593371606
1.0,0.2,10.0,1.7759411483507304,194.600490681,1.758206593371606
1.0,0.2,10.0,1.722675420849347,197.278882363,1.758206593371606
1.0,0.2,10.0,1.7548225771653958,193.887324071,1.758206593371606
1.0,0.2,10.0,1.7605760923019973,196.285014816,1.758206593371606
1.0,0.5,10.0,1.7340397110895975,196.790155365,1.722275707108827
1.0,0.5,10.0,1.7223489555625882,197.057028051,1.722275707108827
1.0,0.5,10.0,1.726997144218575,195.327902468,1.722275707108827
1.0,0.5,10.0,1.7256025027851967,193.089976299,1.722275707108827
1.0,0.5,10.0,1.7237529935000302,194.293844643,1.722275707108827
1.0,1.0,10.0,1.6602344060484902,192.282219426,1.66922524144644
1.0,1.0,10.0,1.6356309596793246,190.84525079,1.66922524144644
1.0,1.0,10.0,1.661539716392939,189.556585026,1.66922524144644
1.0,1.0,10.0,1.6726136644600431,186.674196553,1.66922524144644
1.0,1.0,10.0,1.6755172639697247,189.724216899,1.66922524144644
2.0,0.2,10.0,3.089996580061289,205.066049002,3.0912904249753876
2.0,0.2,10.0,3.1237050247435665,197.166875593,3.0912904249753876
2.0,0.2,10.0,3.094645391975757,201.626660746,3.0912904249753876
2.0,0.2,10.0,3.078579510195627,196.847426969,3.0912904249753876
2.0,0.2,10.0,3.0906457866765966,198.217460169,3.0912904249753876
2.0,0.5,10.0,2.9505590623280153,199.118144184,2.96623361129721
2.0,0.5,10.0,2.9373267210334792,198.5446241,2.96623361129721
2.0,0.5,10.0,2.909853975269359,191.93431414,2.96623361129721
2.0,0.5,10.0,2.9270015926118087,188.734119536,2.96623361129721
2.0,0.5,10.0,2.938873763449416,187.110394628,2.96623361129721
2.0,1.0,10.0,2.784011679032233,185.223709303,2.7863129066819248
2.0,1.0,10.0,2.797379729203844,185.959486831,2.7863129066819248
2.0,1.0,10.0,2.7230144162192427,181.372242869,2.7863129066819248
2.0,1.0,10.0,2.785603952095167,182.545373255,2.7863129066819248
2.0,1.0,10.0,2.770582210187434,180.007546407,2.7863129066819248
5.0,0.2,10.0,19.780858938886606,193.926809549,16.801556694196968
5.0,0.2,10.0,19.15090171187234,186.414752684,16.801556694196968
5.0,0.2,10.0,20.117875588100386,197.553662078,16.801556694196968
5.0,0.2,10.0,19.173160159457474,211.669842374,16.801556694196968
5.0,0.2,10.0,19.540307104020556,210.738588104,16.801556694196968
5.0,0.5,10.0,16.857126235352688,202.966504686,15.153514863482872
5.0,0.5,10.0,17.306860879939133,205.913912063,15.153514863482872
5.0,0.5,10.0,17.415221980217858,188.901636944,15.153514863482872
5.0,0.5,10.0,17.160744189633935,190.354969085,15.153514863482872
5.0,0.5,10.0,16.58456828626499,182.511263149,15.153514863482872
5.0,1.0,10.0,14.438176056185139,181.532025751,12.959096286561797
5.0,1.0,10.0,14.25352852051797,189.360442873,12.959096286561797
5.0,1.0,10.0,14.095802178509068,192.440560254,12.959096286561797
5.0,1.0,10.0,14.82268297480524,187.367490928,12.959096286561797
5.0,1.0,10.0,14.766455042030685,187.100146639,12.959096286561797
10.0,0.2,10.0,339.94336589613806,218.15316086,282.29230734831486
10.0,0.2,10.0,332.46303783898054,216.582698509,282.29230734831486
10.0,0.2,10.0,367.11826805874324,220.472096485,282.29230734831486
10.0,0.2,10.0,344.8404430675224,203.322925575,282.29230734831486
10.0,0.2,10.0,380.6478727004633,206.729327392,282.29230734831486
10.0,0.5,10.0,294.9011937790548,200.145582298,229.62901271779626
10.0,0.5,10.0,268.53640609711977,189.985895092,229.62901271779626
10.0,0.5,10.0,287.8615143847182,185.227224249,229.62901271779626
10.0,0.5,10.0,295.6178965162438,203.379094425,229.62901271779626
10.0,0.5,10.0,291.2181584083992,188.686419737,229.62901271779626
10.0,1.0,10.0,192.55762537130454,187.385717602,167.93817656437977
10.0,1.0,10.0,205.25928566235115,194.152881269,167.93817656437977
10.0,1.0,10.0,184.75416904493704,201.93872231,167.93817656437977
10.0,1.0,10.0,191.42952726345726,210.167125252,167.93817656437977
10.0,1.0,10.0,204.903261749029,184.630158742,167.93817656437977
