d,T,K,u,time_simu
1.0,0.2,10.0,1.75704891586785,263.489086281
1.0,0.2,10.0,1.7567417572037536,255.049179174
1.0,0.2,10.0,1.7564381041291726,260.162987218
1.0,0.2,10.0,1.7564980483347827,243.133616315
1.0,0.2,10.0,1.7589140651291146,252.639735283
1.0,0.5,10.0,1.7156129591493288,237.691585111
1.0,0.5,10.0,1.720859876758642,248.111027886
1.0,0.5,10.0,1.7182502156115464,259.42098549
1.0,0.5,10.0,1.7213463735006251,259.40561725
1.0,0.5,10.0,1.7149148890011336,263.818660414
1.0,1.0,10.0,1.6659556795683785,245.057854258
1.0,1.0,10.0,1.6617717434915424,264.990130691
1.0,1.0,10.0,1.6625871458290185,261.466417161
1.0,1.0,10.0,1.6540336860525926,241.647201957
1.0,1.0,10.0,1.662171169564135,260.62269639
2.0,0.2,10.0,3.08328656538254,244.139288017
2.0,0.2,10.0,3.083234308458688,260.5510899
2.0,0.2,10.0,3.082913324801835,245.489541393
2.0,0.2,10.0,3.0834156534169836,253.946998637
2.0,0.2,10.0,3.0869396702914176,264.618505536
2.0,0.5,10.0,2.948714989791793,256.705358948
2.0,0.5,10.0,2.9512088376387067,262.765557249
2.0,0.5,10.0,2.956408215313665,266.616827372
2.0,0.5,10.0,2.9506956224550716,251.859327699
2.0,0.5,10.0,2.945011737344487,264.322379897
2.0,1.0,10.0,2.7468046857518784,249.579618489
2.0,1.0,10.0,2.7491822184445347,244.562912077
2.0,1.0,10.0,2.757495890042984,263.548274107
2.0,1.0,10.0,2.753389116030377,248.426802899
2.0,1.0,10.0,2.7481399092016616,270.038240674
5.0,0.2,10.0,16.685737244827614,336.556962569
5.0,0.2,10.0,16.67836982889804,351.133079691
5.0,0.2,10.0,16.699756402759608,337.331373674
5.0,0.2,10.0,16.667187293668523,334.046677934
5.0,0.2,10.0,16.723276902330646,349.455446962
5.0,0.5,10.0,14.813468725101812,357.003916892
5.0,0.5,10.0,14.885048664285543,348.144251254
5.0,0.5,10.0,14.876553151756285,352.065850764
5.0,0.5,10.0,14.89219103503157,369.643225346
5.0,0.5,10.0,14.890794147682797,347.653875682
5.0,1.0,10.0,12.403919276940677,337.947706413
5.0,1.0,10.0,12.476175527166783,327.539310405
5.0,1.0,10.0,12.496932372274593,352.276309896
5.0,1.0,10.0,12.398093295814755,365.57319412
5.0,1.0,10.0,12.39817168766877,320.467573169
10.0,0.2,10.0,277.9462448168546,421.905553955
10.0,0.2,10.0,276.7346612082836,424.594838185
10.0,0.2,10.0,276.5386653600395,391.703190541
10.0,0.2,10.0,277.48361431688835,376.700479326
10.0,0.2,10.0,276.9842068793096,380.427843428
10.0,0.5,10.0,218.03155808832068,377.099673549
10.0,0.5,10.0,218.54773012220411,381.758444906
10.0,0.5,10.0,218.14128605745967,377.017320754
10.0,0.5,10.0,215.45479890079125,377.919326194
10.0,0.5,10.0,218.69598161715658,379.759178282
10.0,1.0,10.0,148.36211753331463,379.635780351
10.0,1.0,10.0,147.46248385551758,357.682158744
10.0,1.0,10.0,151.28356898373383,376.860312748
10.0,1.0,10.0,148.07182535952495,379.011577884
10.0,1.0,10.0,150.84166703699955,379.787555113
