T,N,d,batch_size,K,u,time simu,ref_value
0.5,5.0,5.0,8000.0,1.0,14.468653678894043,114.180031297,15.153514863482872
0.5,5.0,5.0,8000.0,1.0,15.029745101928711,114.346266341,15.153514863482872
0.5,5.0,5.0,8000.0,1.0,14.741547584533691,114.198275139,15.153514863482872
0.5,5.0,5.0,8000.0,1.0,14.626917839050293,114.50095814,15.153514863482872
0.5,5.0,5.0,8000.0,1.0,14.632055282592773,114.37002854,15.153514863482872
0.5,5.0,5.0,8000.0,3.0,15.064939498901367,116.08968819,15.153514863482872
0.5,5.0,5.0,8000.0,3.0,14.489503860473633,116.052098616,15.153514863482872
0.5,5.0,5.0,8000.0,3.0,14.74259090423584,116.077265122,15.153514863482872
0.5,5.0,5.0,8000.0,3.0,14.555238723754883,116.251027404,15.153514863482872
0.5,5.0,5.0,8000.0,3.0,14.657917976379395,116.205812647,15.153514863482872
0.5,5.0,5.0,8000.0,5.0,14.557561874389648,116.375532232,15.153514863482872
0.5,5.0,5.0,8000.0,5.0,14.403615951538086,116.549915489,15.153514863482872
0.5,5.0,5.0,8000.0,5.0,15.022926330566406,116.561489235,15.153514863482872
0.5,5.0,5.0,8000.0,5.0,14.388254165649414,116.136765365,15.153514863482872
0.5,5.0,5.0,8000.0,5.0,14.770867347717285,115.742110177,15.153514863482872
0.5,5.0,5.0,8000.0,7.0,14.377859115600586,119.655364087,15.153514863482872
0.5,5.0,5.0,8000.0,7.0,14.780606269836426,119.60843456,15.153514863482872
0.5,5.0,5.0,8000.0,7.0,14.565489768981934,119.729908357,15.153514863482872
0.5,5.0,5.0,8000.0,7.0,14.667462348937988,119.974180457,15.153514863482872
0.5,5.0,5.0,8000.0,7.0,14.964423179626465,120.242593146,15.153514863482872
0.5,5.0,5.0,8000.0,9.0,14.480620384216309,138.95418598,15.153514863482872
0.5,5.0,5.0,8000.0,9.0,14.778962135314941,141.81896726,15.153514863482872
0.5,5.0,5.0,8000.0,9.0,14.598986625671387,139.730856341,15.153514863482872
0.5,5.0,5.0,8000.0,9.0,14.630973815917969,137.756285392,15.153514863482872
0.5,5.0,5.0,8000.0,9.0,14.635265350341797,134.151332604,15.153514863482872
