T,N,d,batch_size,K,u,time simu,ref_value
0.5,1.0,5.0,8000.0,5.0,14.636975288391113,145.578415014,15.153514863482872
0.5,1.0,5.0,8000.0,5.0,14.923711776733398,19.447824712,15.153514863482872
0.5,1.0,5.0,8000.0,5.0,14.51695728302002,19.420931146,15.153514863482872
0.5,1.0,5.0,8000.0,5.0,14.738276481628418,19.4963707,15.153514863482872
0.5,1.0,5.0,8000.0,5.0,14.73237133026123,19.498941358,15.153514863482872
0.5,3.0,5.0,8000.0,5.0,14.790633201599121,65.903229904,15.153514863482872
0.5,3.0,5.0,8000.0,5.0,14.89633560180664,64.359484272,15.153514863482872
0.5,3.0,5.0,8000.0,5.0,14.461189270019531,64.547334916,15.153514863482872
0.5,3.0,5.0,8000.0,5.0,14.295902252197266,64.788157285,15.153514863482872
0.5,3.0,5.0,8000.0,5.0,14.709712028503418,65.232582754,15.153514863482872
0.5,5.0,5.0,8000.0,5.0,14.572098731994629,111.186202554,15.153514863482872
0.5,5.0,5.0,8000.0,5.0,14.170125961303711,111.035924119,15.153514863482872
0.5,5.0,5.0,8000.0,5.0,15.035025596618652,111.475744407,15.153514863482872
0.5,5.0,5.0,8000.0,5.0,14.401296615600586,111.661854743,15.153514863482872
0.5,5.0,5.0,8000.0,5.0,15.061478614807129,112.023010843,15.153514863482872
0.5,7.0,5.0,8000.0,5.0,15.00717830657959,159.435408578,15.153514863482872
0.5,7.0,5.0,8000.0,5.0,14.274275779724121,159.119915441,15.153514863482872
0.5,7.0,5.0,8000.0,5.0,14.877077102661133,160.039747784,15.153514863482872
0.5,7.0,5.0,8000.0,5.0,14.50175666809082,159.700096197,15.153514863482872
0.5,7.0,5.0,8000.0,5.0,14.415626525878906,160.436955196,15.153514863482872
0.5,9.0,5.0,8000.0,5.0,14.440077781677246,208.902856255,15.153514863482872
0.5,9.0,5.0,8000.0,5.0,14.67382526397705,209.559261936,15.153514863482872
0.5,9.0,5.0,8000.0,5.0,14.269610404968262,208.41592205,15.153514863482872
0.5,9.0,5.0,8000.0,5.0,14.43921184539795,208.65274176,15.153514863482872
0.5,9.0,5.0,8000.0,5.0,14.381773948669434,209.258208066,15.153514863482872
