T,N,d,batch_size,K,u,time simu,ref_value
0.5,5.0,5.0,1000.0,5.0,14.215039253234863,107.192361518,15.153514863482872
0.5,5.0,5.0,1000.0,5.0,14.431618690490723,107.190797549,15.153514863482872
0.5,5.0,5.0,1000.0,5.0,14.351365089416504,107.211936812,15.153514863482872
0.5,5.0,5.0,1000.0,5.0,14.099126815795898,107.355737763,15.153514863482872
0.5,5.0,5.0,1000.0,5.0,14.09437370300293,107.417961417,15.153514863482872
0.5,5.0,5.0,3000.0,5.0,14.250061988830566,114.939973325,15.153514863482872
0.5,5.0,5.0,3000.0,5.0,14.531495094299316,114.890926719,15.153514863482872
0.5,5.0,5.0,3000.0,5.0,14.21124267578125,115.187346135,15.153514863482872
0.5,5.0,5.0,3000.0,5.0,14.635726928710938,115.080421658,15.153514863482872
0.5,5.0,5.0,3000.0,5.0,14.373030662536621,115.044680894,15.153514863482872
0.5,5.0,5.0,5000.0,5.0,14.498992919921875,115.996716595,15.153514863482872
0.5,5.0,5.0,5000.0,5.0,14.808845520019531,115.977880294,15.153514863482872
0.5,5.0,5.0,5000.0,5.0,14.790945053100586,116.145079982,15.153514863482872
0.5,5.0,5.0,5000.0,5.0,14.274147987365723,115.914963016,15.153514863482872
0.5,5.0,5.0,5000.0,5.0,15.11825942993164,115.75505468,15.153514863482872
0.5,5.0,5.0,7000.0,5.0,14.715825080871582,117.578171106,15.153514863482872
0.5,5.0,5.0,7000.0,5.0,14.97101879119873,117.603629596,15.153514863482872
0.5,5.0,5.0,7000.0,5.0,14.990450859069824,117.485116112,15.153514863482872
0.5,5.0,5.0,7000.0,5.0,14.66321849822998,117.579683168,15.153514863482872
0.5,5.0,5.0,7000.0,5.0,14.129349708557129,117.558406496,15.153514863482872
0.5,5.0,5.0,9000.0,5.0,14.655176162719727,116.213877721,15.153514863482872
0.5,5.0,5.0,9000.0,5.0,14.882733345031738,116.45824496,15.153514863482872
0.5,5.0,5.0,9000.0,5.0,14.520160675048828,116.319627246,15.153514863482872
0.5,5.0,5.0,9000.0,5.0,14.382598876953125,116.497899316,15.153514863482872
0.5,5.0,5.0,9000.0,5.0,14.998032569885254,117.098152545,15.153514863482872
