T,N,d,batch_size,K,u,time simu,ref_value
0.2,2.0,5.0,8000.0,1.0,16.364973068237305,5.16588271,16.801556694196968
0.2,2.0,5.0,8000.0,1.0,16.36410140991211,5.312444115,16.801556694196968
0.2,2.0,5.0,8000.0,1.0,16.38597869873047,5.293774417,16.801556694196968
0.2,2.0,5.0,8000.0,1.0,16.37261962890625,5.315311782,16.801556694196968
0.2,2.0,5.0,8000.0,1.0,16.398059844970703,5.30657688,16.801556694196968
0.2,2.0,5.0,8000.0,2.0,16.37934684753418,5.303770898,16.801556694196968
0.2,2.0,5.0,8000.0,2.0,16.398847579956055,5.426408973,16.801556694196968
0.2,2.0,5.0,8000.0,2.0,16.356929779052734,5.295469412,16.801556694196968
0.2,2.0,5.0,8000.0,2.0,16.385873794555664,5.420589679,16.801556694196968
0.2,2.0,5.0,8000.0,2.0,16.37299919128418,5.297852661,16.801556694196968
0.2,2.0,5.0,8000.0,3.0,16.383159637451172,5.361498925,16.801556694196968
0.2,2.0,5.0,8000.0,3.0,16.391178131103516,5.339887076,16.801556694196968
0.2,2.0,5.0,8000.0,3.0,16.37799644470215,5.461210055,16.801556694196968
0.2,2.0,5.0,8000.0,3.0,16.370004653930664,5.337662921,16.801556694196968
0.2,2.0,5.0,8000.0,3.0,16.37932777404785,5.356337086,16.801556694196968
0.2,2.0,5.0,8000.0,4.0,16.367990493774414,5.363972568,16.801556694196968
0.2,2.0,5.0,8000.0,4.0,16.394943237304688,5.346664995,16.801556694196968
0.2,2.0,5.0,8000.0,4.0,16.362804412841797,5.359707289,16.801556694196968
0.2,2.0,5.0,8000.0,4.0,16.39228630065918,5.33828716,16.801556694196968
0.2,2.0,5.0,8000.0,4.0,16.365720748901367,5.347771997,16.801556694196968
0.2,2.0,5.0,8000.0,5.0,16.363834381103516,5.383877793,16.801556694196968
0.2,2.0,5.0,8000.0,5.0,16.376352310180664,5.410566502,16.801556694196968
0.2,2.0,5.0,8000.0,5.0,16.366411209106445,5.3901906,16.801556694196968
0.2,2.0,5.0,8000.0,5.0,16.367971420288086,5.318669718,16.801556694196968
0.2,2.0,5.0,8000.0,5.0,16.3845157623291,5.412984219,16.801556694196968
