T,N,d,batch_size,K,u,time simu,ref_value
0.2,2.0,5.0,1000.0,1.0,16.357669830322266,39.890780663,16.801556694196968
0.2,2.0,5.0,1000.0,1.0,16.457277297973633,40.053322614,16.801556694196968
0.2,2.0,5.0,1000.0,1.0,16.29593849182129,39.865022666,16.801556694196968
0.2,2.0,5.0,1000.0,1.0,16.489748001098633,39.933424273,16.801556694196968
0.2,2.0,5.0,1000.0,1.0,16.361509323120117,39.935839205,16.801556694196968
0.2,2.0,5.0,1000.0,2.0,16.368122100830078,41.244186605,16.801556694196968
0.2,2.0,5.0,1000.0,2.0,16.28828239440918,41.286109403,16.801556694196968
0.2,2.0,5.0,1000.0,2.0,16.311664581298828,41.305943755,16.801556694196968
0.2,2.0,5.0,1000.0,2.0,16.404146194458008,41.173621561,16.801556694196968
0.2,2.0,5.0,1000.0,2.0,16.260026931762695,41.349590903,16.801556694196968
0.2,2.0,5.0,1000.0,3.0,16.077165603637695,41.140567704,16.801556694196968
0.2,2.0,5.0,1000.0,3.0,16.18770408630371,41.130038019,16.801556694196968
0.2,2.0,5.0,1000.0,3.0,16.195846557617188,41.152653172,16.801556694196968
0.2,2.0,5.0,1000.0,3.0,16.561086654663086,41.178672633,16.801556694196968
0.2,2.0,5.0,1000.0,3.0,16.52730369567871,41.151973832,16.801556694196968
0.2,2.0,5.0,1000.0,4.0,16.680864334106445,41.058519214,16.801556694196968
0.2,2.0,5.0,1000.0,4.0,16.179916381835938,41.077031537,16.801556694196968
0.2,2.0,5.0,1000.0,4.0,16.2847843170166,41.091757819,16.801556694196968
0.2,2.0,5.0,1000.0,4.0,16.248409271240234,41.134821879,16.801556694196968
0.2,2.0,5.0,1000.0,4.0,16.5500431060791,41.12235029,16.801556694196968
0.2,2.0,5.0,1000.0,5.0,16.509408950805664,41.061896275,16.801556694196968
0.2,2.0,5.0,1000.0,5.0,15.94851303100586,40.99852291,16.801556694196968
0.2,2.0,5.0,1000.0,5.0,16.024595260620117,41.066378705,16.801556694196968
0.2,2.0,5.0,1000.0,5.0,16.808610916137695,41.061540221,16.801556694196968
0.2,2.0,5.0,1000.0,5.0,16.21936798095703,41.088628633,16.801556694196968
