T,M,d,K,L,u,time simu,ref_value
0.2,4.0,5.0,1.0,4.0,16.734641846848238,0.003321024,16.801557337972937
0.2,4.0,5.0,1.0,4.0,16.779702395525725,0.003219613,16.801557337972937
0.2,4.0,5.0,1.0,4.0,16.657402015306236,0.004157729,16.801557337972937
0.2,4.0,5.0,1.0,4.0,16.596671621741862,0.004931395,16.801557337972937
0.2,4.0,5.0,1.0,4.0,16.556562359033563,0.005086954,16.801557337972937
0.2,4.0,5.0,3.0,4.0,16.77225994178252,0.042606896,16.801557337972937
0.2,4.0,5.0,3.0,4.0,16.801082285476557,0.040291097,16.801557337972937
0.2,4.0,5.0,3.0,4.0,16.55232271027791,0.041677341,16.801557337972937
0.2,4.0,5.0,3.0,4.0,16.741419599967493,0.127723878,16.801557337972937
0.2,4.0,5.0,3.0,4.0,16.73789020244625,0.02183345,16.801557337972937
0.2,4.0,5.0,5.0,4.0,16.694538884983604,0.198529601,16.801557337972937
0.2,4.0,5.0,5.0,4.0,16.670795286351584,0.213200468,16.801557337972937
0.2,4.0,5.0,5.0,4.0,16.640840989465413,0.199381737,16.801557337972937
0.2,4.0,5.0,5.0,4.0,16.741537413065736,0.207749575,16.801557337972937
0.2,4.0,5.0,5.0,4.0,16.594762068907713,0.194731111,16.801557337972937
0.2,4.0,5.0,7.0,4.0,16.699447805707628,0.4813675,16.801557337972937
0.2,4.0,5.0,7.0,4.0,16.593740538324365,0.623383165,16.801557337972937
0.2,4.0,5.0,7.0,4.0,16.792269839427117,0.54865772,16.801557337972937
0.2,4.0,5.0,7.0,4.0,16.71983819233934,0.472531364,16.801557337972937
0.2,4.0,5.0,7.0,4.0,16.751774693077582,0.563701945,16.801557337972937
0.2,4.0,5.0,9.0,4.0,16.625998802921156,1.201808976,16.801557337972937
0.2,4.0,5.0,9.0,4.0,16.656146780506628,1.188407793,16.801557337972937
0.2,4.0,5.0,9.0,4.0,16.625087626666385,1.118887452,16.801557337972937
0.2,4.0,5.0,9.0,4.0,16.651572576572455,1.19888324,16.801557337972937
0.2,4.0,5.0,9.0,4.0,16.645568160893117,1.15325336,16.801557337972937
