T,M,d,K,L,u,time simu,ref_value
0.2,4.0,5.0,5.0,1.0,16.578647364920528,0.000282819,16.801557337972937
0.2,4.0,5.0,5.0,1.0,15.406389101751754,0.000190519,16.801557337972937
0.2,4.0,5.0,5.0,1.0,15.848627224764673,0.000162099,16.801557337972937
0.2,4.0,5.0,5.0,1.0,16.46171080544628,0.000151559,16.801557337972937
0.2,4.0,5.0,5.0,1.0,16.16560560478635,0.000152579,16.801557337972937
0.2,4.0,5.0,5.0,2.0,16.782011397919245,0.000297908,16.801557337972937
0.2,4.0,5.0,5.0,2.0,16.59360098210043,0.000288778,16.801557337972937
0.2,4.0,5.0,5.0,2.0,16.768669241886215,0.000306598,16.801557337972937
0.2,4.0,5.0,5.0,2.0,16.71054811278174,0.000241568,16.801557337972937
0.2,4.0,5.0,5.0,2.0,16.72281503822426,0.000290508,16.801557337972937
0.2,4.0,5.0,5.0,3.0,16.374070638294988,0.005693602,16.801557337972937
0.2,4.0,5.0,5.0,3.0,16.660128540504346,0.005798601,16.801557337972937
0.2,4.0,5.0,5.0,3.0,16.84039332650579,0.005713942,16.801557337972937
0.2,4.0,5.0,5.0,3.0,16.654244757268287,0.00590704,16.801557337972937
0.2,4.0,5.0,5.0,3.0,16.91680912599109,0.00588256,16.801557337972937
0.2,4.0,5.0,5.0,4.0,16.79711824864835,0.232816099,16.801557337972937
0.2,4.0,5.0,5.0,4.0,16.708428016287932,0.204179592,16.801557337972937
0.2,4.0,5.0,5.0,4.0,16.68702392261952,0.214400293,16.801557337972937
0.2,4.0,5.0,5.0,4.0,16.68513798679913,0.20283373,16.801557337972937
0.2,4.0,5.0,5.0,4.0,16.793445150460418,0.193023356,16.801557337972937
0.2,4.0,5.0,5.0,5.0,16.723255497891337,5.703072737,16.801557337972937
0.2,4.0,5.0,5.0,5.0,16.712201038630358,5.668509071,16.801557337972937
0.2,4.0,5.0,5.0,5.0,16.682946175535488,5.831762325,16.801557337972937
