T,M,d,K,L,u,time simu,ref_value
0.2,1.0,5.0,5.0,4.0,17.686659866535805,2.88782866,16.801557337972937
0.2,1.0,5.0,5.0,4.0,16.005511371299047,0.002425714,16.801557337972937
0.2,1.0,5.0,5.0,4.0,15.603835499207802,0.003622846,16.801557337972937
0.2,1.0,5.0,5.0,4.0,17.914579887187376,0.00288068,16.801557337972937
0.2,1.0,5.0,5.0,4.0,17.697264033736637,0.003455926,16.801557337972937
0.2,2.0,5.0,5.0,4.0,16.60225312459569,0.023169714,16.801557337972937
0.2,2.0,5.0,5.0,4.0,16.50823545380295,0.024129628,16.801557337972937
0.2,2.0,5.0,5.0,4.0,16.302778637644213,0.022309511,16.801557337972937
0.2,2.0,5.0,5.0,4.0,16.950830681755203,0.021729344,16.801557337972937
0.2,2.0,5.0,5.0,4.0,16.83879738433804,0.024205427,16.801557337972937
0.2,3.0,5.0,5.0,4.0,16.706943941638606,0.068964577,16.801557337972937
0.2,3.0,5.0,5.0,4.0,16.734842454909952,0.150295761,16.801557337972937
0.2,3.0,5.0,5.0,4.0,16.767152737991953,0.068042333,16.801557337972937
0.2,3.0,5.0,5.0,4.0,16.613651615548935,0.107513399,16.801557337972937
0.2,3.0,5.0,5.0,4.0,16.646748640183795,0.064408058,16.801557337972937
0.2,4.0,5.0,5.0,4.0,16.656209602705204,0.196045275,16.801557337972937
0.2,4.0,5.0,5.0,4.0,16.671391011764953,0.189695807,16.801557337972937
0.2,4.0,5.0,5.0,4.0,16.722008579118114,0.189874397,16.801557337972937
0.2,4.0,5.0,5.0,4.0,16.59056742569547,0.211539771,16.801557337972937
0.2,4.0,5.0,5.0,4.0,16.727983298713905,0.23258981,16.801557337972937
0.2,5.0,5.0,5.0,4.0,16.719198843586774,0.409051727,16.801557337972937
0.2,5.0,5.0,5.0,4.0,16.65555837359771,0.462145301,16.801557337972937
0.2,5.0,5.0,5.0,4.0,16.65347210769773,0.435238001,16.801557337972937
0.2,5.0,5.0,5.0,4.0,16.714531137332933,0.418950342,16.801557337972937
0.2,5.0,5.0,5.0,4.0,16.64204081127131,0.325610147,16.801557337972937
