T,N,d,batch_size,K,u,time simu,ref_value
0.2,1.0,5.0,8000.0,3.0,0.0,115.567847678,16.801556694196968
0.2,1.0,5.0,8000.0,3.0,0.0,2.135924678,16.801556694196968
0.2,1.0,5.0,8000.0,3.0,0.0,2.198594018,16.801556694196968
0.2,1.0,5.0,8000.0,3.0,0.0,2.247973793,16.801556694196968
0.2,1.0,5.0,8000.0,3.0,0.0,2.128483081,16.801556694196968
0.2,2.0,5.0,8000.0,3.0,16.373260498046875,7.074388201,16.801556694196968
0.2,2.0,5.0,8000.0,3.0,16.375741958618164,5.084712564,16.801556694196968
0.2,2.0,5.0,8000.0,3.0,16.381183624267578,5.166920088,16.801556694196968
0.2,2.0,5.0,8000.0,3.0,16.381986618041992,5.175386176,16.801556694196968
0.2,2.0,5.0,8000.0,3.0,16.376811981201172,5.301651932,16.801556694196968
0.2,3.0,5.0,8000.0,3.0,16.372844696044922,8.102807373,16.801556694196968
0.2,3.0,5.0,8000.0,3.0,16.384437561035156,8.10164386,16.801556694196968
0.2,3.0,5.0,8000.0,3.0,16.38255500793457,8.113066185,16.801556694196968
0.2,3.0,5.0,8000.0,3.0,16.375858306884766,8.140220776,16.801556694196968
0.2,3.0,5.0,8000.0,3.0,16.370332717895508,8.156628546,16.801556694196968
0.2,4.0,5.0,8000.0,3.0,16.370254516601562,11.171618886,16.801556694196968
0.2,4.0,5.0,8000.0,3.0,16.37734031677246,11.18437241,16.801556694196968
0.2,4.0,5.0,8000.0,3.0,16.357280731201172,11.178639636,16.801556694196968
0.2,4.0,5.0,8000.0,3.0,16.38119125366211,11.205016337,16.801556694196968
0.2,4.0,5.0,8000.0,3.0,16.371578216552734,11.20557337,16.801556694196968
0.2,5.0,5.0,8000.0,3.0,16.397132873535156,14.263225586,16.801556694196968
0.2,5.0,5.0,8000.0,3.0,16.400732040405273,14.202885051,16.801556694196968
0.2,5.0,5.0,8000.0,3.0,16.390460968017578,14.327544286,16.801556694196968
0.2,5.0,5.0,8000.0,3.0,16.39431381225586,14.375189217,16.801556694196968
0.2,5.0,5.0,8000.0,3.0,16.367033004760742,14.381548888,16.801556694196968
