T,N,d,batch_size,K,u,time simu,ref_value
0.2,1.0,5.0,8000.0,3.0,16.47956085205078,145.275264468,16.801556694196968
0.2,1.0,5.0,8000.0,3.0,16.603296279907227,19.288712922,16.801556694196968
0.2,1.0,5.0,8000.0,3.0,16.695314407348633,19.328891124,16.801556694196968
0.2,1.0,5.0,8000.0,3.0,16.597549438476562,19.395804219,16.801556694196968
0.2,1.0,5.0,8000.0,3.0,16.547653198242188,19.372814875,16.801556694196968
0.2,2.0,5.0,8000.0,3.0,16.458511352539062,43.388736725,16.801556694196968
0.2,2.0,5.0,8000.0,3.0,16.76076889038086,41.489946025,16.801556694196968
0.2,2.0,5.0,8000.0,3.0,16.59537696838379,41.691631588,16.801556694196968
0.2,2.0,5.0,8000.0,3.0,16.33194923400879,41.693720312,16.801556694196968
0.2,2.0,5.0,8000.0,3.0,16.402830123901367,41.867591117,16.801556694196968
0.2,3.0,5.0,8000.0,3.0,16.045167922973633,64.235232633,16.801556694196968
0.2,3.0,5.0,8000.0,3.0,16.117233276367188,64.575373089,16.801556694196968
0.2,3.0,5.0,8000.0,3.0,16.38814353942871,64.754174335,16.801556694196968
0.2,3.0,5.0,8000.0,3.0,16.55617332458496,64.873433106,16.801556694196968
