T,N,d,batch_size,K,u,time simu,ref_value
0.2,2.0,5.0,100.0,3.0,16.287065505981445,5.047333713,16.801556694196968
0.2,2.0,5.0,100.0,3.0,16.363637924194336,4.878845664,16.801556694196968
0.2,2.0,5.0,100.0,3.0,16.356691360473633,4.885865518,16.801556694196968
0.2,2.0,5.0,100.0,3.0,16.58157730102539,4.884139855,16.801556694196968
0.2,2.0,5.0,100.0,3.0,16.283416748046875,4.921488848,16.801556694196968
0.2,2.0,5.0,300.0,3.0,16.38469696044922,4.930653256,16.801556694196968
0.2,2.0,5.0,300.0,3.0,16.411487579345703,4.916574394,16.801556694196968
0.2,2.0,5.0,300.0,3.0,16.327001571655273,4.935974477,16.801556694196968
0.2,2.0,5.0,300.0,3.0,16.392658233642578,4.943354372,16.801556694196968
0.2,2.0,5.0,300.0,3.0,16.361234664916992,5.071708417,16.801556694196968
0.2,2.0,5.0,500.0,3.0,16.386608123779297,4.988129389,16.801556694196968
0.2,2.0,5.0,500.0,3.0,16.365501403808594,4.992605854,16.801556694196968
0.2,2.0,5.0,500.0,3.0,16.475082397460938,4.982894277,16.801556694196968
0.2,2.0,5.0,500.0,3.0,16.371227264404297,5.133933915,16.801556694196968
0.2,2.0,5.0,500.0,3.0,16.344829559326172,4.985684316,16.801556694196968
0.2,2.0,5.0,700.0,3.0,16.371137619018555,5.004791142,16.801556694196968
0.2,2.0,5.0,700.0,3.0,16.424968719482422,5.177478435,16.801556694196968
0.2,2.0,5.0,700.0,3.0,16.382516860961914,5.009610964,16.801556694196968
0.2,2.0,5.0,700.0,3.0,16.382369995117188,5.010354152,16.801556694196968
0.2,2.0,5.0,700.0,3.0,16.36153221130371,5.019941028,16.801556694196968
0.2,2.0,5.0,900.0,3.0,16.392602920532227,5.18475651,16.801556694196968
0.2,2.0,5.0,900.0,3.0,16.427513122558594,5.01048543,16.801556694196968
0.2,2.0,5.0,900.0,3.0,16.378599166870117,5.012505363,16.801556694196968
0.2,2.0,5.0,900.0,3.0,16.387754440307617,5.176501596,16.801556694196968
0.2,2.0,5.0,900.0,3.0,16.358280181884766,5.021795741,16.801556694196968
