T,N,d,batch_size,K,u,time simu,ref_value
0.2,2.0,5.0,100.0,3.0,14.959898948669434,39.488012791,16.801556694196968
0.2,2.0,5.0,100.0,3.0,15.250480651855469,39.615672662,16.801556694196968
0.2,2.0,5.0,100.0,3.0,15.757835388183594,39.346100021,16.801556694196968
0.2,2.0,5.0,100.0,3.0,14.770198822021484,39.554452074,16.801556694196968
0.2,2.0,5.0,100.0,3.0,15.134778022766113,39.367353601,16.801556694196968
0.2,2.0,5.0,300.0,3.0,15.977733612060547,40.227076249,16.801556694196968
0.2,2.0,5.0,300.0,3.0,15.458647727966309,40.269548891,16.801556694196968
0.2,2.0,5.0,300.0,3.0,15.713191986083984,40.063824821,16.801556694196968
0.2,2.0,5.0,300.0,3.0,16.34865379333496,40.267782611,16.801556694196968
0.2,2.0,5.0,300.0,3.0,15.909403800964355,40.314745715,16.801556694196968
0.2,2.0,5.0,500.0,3.0,15.989007949829102,40.685328346,16.801556694196968
0.2,2.0,5.0,500.0,3.0,15.970645904541016,40.675185854,16.801556694196968
0.2,2.0,5.0,500.0,3.0,16.258804321289062,40.761312295,16.801556694196968
0.2,2.0,5.0,500.0,3.0,15.7464599609375,40.78742644,16.801556694196968
0.2,2.0,5.0,500.0,3.0,16.083227157592773,40.752082061,16.801556694196968
0.2,2.0,5.0,700.0,3.0,16.44476318359375,40.992867183,16.801556694196968
0.2,2.0,5.0,700.0,3.0,16.391332626342773,40.994011673,16.801556694196968
0.2,2.0,5.0,700.0,3.0,16.469589233398438,41.154913484,16.801556694196968
0.2,2.0,5.0,700.0,3.0,16.377344131469727,41.0264293,16.801556694196968
0.2,2.0,5.0,700.0,3.0,16.197275161743164,41.05923433,16.801556694196968
0.2,2.0,5.0,900.0,3.0,15.828268051147461,40.975513919,16.801556694196968
0.2,2.0,5.0,900.0,3.0,15.972572326660156,41.014698784,16.801556694196968
0.2,2.0,5.0,900.0,3.0,16.20667266845703,41.043068458,16.801556694196968
0.2,2.0,5.0,900.0,3.0,16.582672119140625,41.017523861,16.801556694196968
0.2,2.0,5.0,900.0,3.0,16.234968185424805,41.024707984,16.801556694196968
