d,T,K,u,time_simu
1.0,0.2,10.0,0.9930804140820231,165.609333479
1.0,0.2,10.0,0.9931966898128515,157.937195225
1.0,0.2,10.0,0.9931657660299164,165.580824852
1.0,0.2,10.0,0.9932672849983325,162.419718007
1.0,0.2,10.0,0.9930042729740132,163.250225255
1.0,0.5,10.0,0.9879565687926694,160.718077243
1.0,0.5,10.0,0.9885344299284575,164.269021676
1.0,0.5,10.0,0.9866351766653287,153.553384306
1.0,0.5,10.0,0.9870077734680185,166.234814304
1.0,0.5,10.0,0.985481416817527,167.070203067
1.0,1.0,10.0,0.9734668690472061,154.066888873
1.0,1.0,10.0,0.9968710218091177,162.704103802
1.0,1.0,10.0,0.96656863380118,165.448617516
1.0,1.0,10.0,0.9865606388361557,158.653691439
1.0,1.0,10.0,0.9805614941846651,156.303637811
2.0,0.2,10.0,0.9866628326225433,161.925324691
2.0,0.2,10.0,0.9867727275791894,161.269599932
2.0,0.2,10.0,0.9865726833519255,163.657511458
2.0,0.2,10.0,0.9867196314874227,141.019211596
2.0,0.2,10.0,0.9869439407306158,165.156246877
2.0,0.5,10.0,0.9732032517102089,152.015554285
2.0,0.5,10.0,0.9746637170145191,159.585812152
2.0,0.5,10.0,0.973653739098772,140.841089098
2.0,0.5,10.0,0.9775768356580812,149.97420209
2.0,0.5,10.0,0.9717989852943407,166.022740933
2.0,1.0,10.0,0.9615562587467685,158.619093907
2.0,1.0,10.0,0.9597920180688487,151.412323972
2.0,1.0,10.0,0.9624438382938152,162.497035627
2.0,1.0,10.0,0.9796930202145759,153.635114218
2.0,1.0,10.0,0.9772436840265633,158.774056953
5.0,0.2,10.0,0.9705873201786664,179.376817686
5.0,0.2,10.0,0.9696921018097242,187.414190709
5.0,0.2,10.0,0.9702699987103968,197.143890155
5.0,0.2,10.0,0.9708200569325448,187.761093166
5.0,0.2,10.0,0.9706791757679626,192.628198093
5.0,0.5,10.0,0.9408496237169182,186.205856951
5.0,0.5,10.0,0.9395448677187066,217.751428039
5.0,0.5,10.0,0.9444348044553836,211.254502918
5.0,0.5,10.0,0.948025397832595,220.896115557
5.0,0.5,10.0,0.9415057264474394,221.643894257
5.0,1.0,10.0,0.8702587631376694,222.661718404
5.0,1.0,10.0,0.9194426216917271,220.433793188
5.0,1.0,10.0,0.9119188734670527,217.589211432
5.0,1.0,10.0,0.9387603927436114,220.420160006
5.0,1.0,10.0,0.9602378528492305,220.829788675
10.0,0.2,10.0,0.9508759986102393,241.917034951
10.0,0.2,10.0,0.9519270254954632,255.61098039
10.0,0.2,10.0,0.951126977276611,253.789196642
10.0,0.2,10.0,0.9513466535550754,252.207092352
10.0,0.2,10.0,0.9512050656037379,254.790837181
10.0,0.5,10.0,0.8925162319948734,253.738064065
10.0,0.5,10.0,0.9061655342777787,252.220058552
10.0,0.5,10.0,0.903464460511105,254.690128077
10.0,0.5,10.0,0.9111433700391937,255.003122976
10.0,0.5,10.0,0.9109361475932232,250.64148883
10.0,1.0,10.0,0.8472062266330848,245.141882219
10.0,1.0,10.0,0.8961998028116575,251.918841378
10.0,1.0,10.0,0.8674025590896148,255.080014342
10.0,1.0,10.0,0.9158875432057251,253.368876938
10.0,1.0,10.0,0.864562630378163,249.962462295
