d,T,N,u,time_simu
1.0,0.2,10.0,0.9975826144218445,14.82898172
1.0,0.2,10.0,1.0117590427398682,10.705687921
1.0,0.2,10.0,1.0030211210250854,6.328654014
1.0,0.2,10.0,0.9983946681022644,6.711435569
1.0,0.2,10.0,0.9994059205055237,5.864596108
1.0,0.5,10.0,0.9980521202087402,33.615425308
1.0,0.5,10.0,0.997838020324707,14.775850079
1.0,0.5,10.0,0.9985368847846985,35.844249206
1.0,0.5,10.0,0.9979559183120728,14.924216041
1.0,0.5,10.0,0.9988549947738647,11.359279768
1.0,1.0,10.0,0.9811596274375916,185.163232147
1.0,1.0,10.0,0.9961693286895752,77.137113292
1.0,1.0,10.0,1.000922679901123,31.785809188
1.0,1.0,10.0,0.9948579668998718,46.550877094
1.0,1.0,10.0,1.002677321434021,184.874468408
2.0,0.2,10.0,0.9759770631790161,8.268352498
2.0,0.2,10.0,0.9477651715278625,9.224302701
2.0,0.2,10.0,0.9977293014526367,11.658034082
2.0,0.2,10.0,0.9981058239936829,13.495914313
2.0,0.2,10.0,0.9980006814002991,11.41926288
2.0,0.5,10.0,0.9827394485473633,17.879352349
2.0,0.5,10.0,0.9968851208686829,11.295660822
2.0,0.5,10.0,0.9982928037643433,35.292416472
2.0,0.5,10.0,1.0038682222366333,114.602583333
2.0,0.5,10.0,0.9944895505905151,37.606669345
2.0,1.0,10.0,0.9955856800079346,68.4742734
2.0,1.0,10.0,0.9874853491783142,192.597365481
2.0,1.0,10.0,0.9894067645072937,176.735898738
2.0,1.0,10.0,1.001737117767334,192.331548332
2.0,1.0,10.0,1.0062161684036255,159.195011282
5.0,0.2,10.0,0.9958488941192627,15.640665595
5.0,0.2,10.0,0.9978007078170776,13.437994908
5.0,0.2,10.0,0.9994025826454163,18.443838678
5.0,0.2,10.0,0.9991514086723328,18.463351496
5.0,0.2,10.0,0.9952696561813354,17.476844941
5.0,0.5,10.0,1.0382189750671387,189.735206951
5.0,0.5,10.0,0.9855639934539795,151.381901411
5.0,0.5,10.0,1.0035849809646606,111.923825805
5.0,0.5,10.0,0.877569317817688,188.066753491
5.0,0.5,10.0,0.9805405139923096,188.222109667
5.0,1.0,10.0,0.9693687558174133,187.239946847
5.0,1.0,10.0,0.9875704050064087,186.92348319
5.0,1.0,10.0,0.9853804707527161,185.866705838
5.0,1.0,10.0,0.9835209846496582,184.971027277
5.0,1.0,10.0,1.0332647562026978,184.925208852
10.0,0.2,10.0,0.9947415590286255,18.295415449
10.0,0.2,10.0,0.9950465559959412,15.38164751
10.0,0.2,10.0,0.9943994283676147,22.655099354
10.0,0.2,10.0,0.998029351234436,36.269603292
10.0,0.2,10.0,0.9868082404136658,36.382552828
10.0,0.5,10.0,0.9930810332298279,175.857703741
10.0,0.5,10.0,0.9852956533432007,198.262152362
10.0,0.5,10.0,0.9564640522003174,196.152616478
10.0,0.5,10.0,0.9760472774505615,194.366914742
10.0,0.5,10.0,0.9473052024841309,193.019528859
10.0,1.0,10.0,0.9790431261062622,192.139724318
10.0,1.0,10.0,0.9655575156211853,191.552820996
10.0,1.0,10.0,0.9750568270683289,191.287067709
10.0,1.0,10.0,0.9917207360267639,190.798664707
10.0,1.0,10.0,0.9610211849212646,189.932973021
