d,T,K,u,time_simu
1.0,0.2,10.0,0.9996010694574623,0.467557578
1.0,0.2,10.0,0.9995962357306138,0.008994163
1.0,0.2,10.0,0.9996191352135988,0.008610363
1.0,0.2,10.0,0.9995758072435827,0.005614787
1.0,0.2,10.0,0.9996072919515865,0.006494672
1.0,0.5,10.0,0.9993480564583386,0.01193786
1.0,0.5,10.0,0.9992756998608847,0.011216243
1.0,0.5,10.0,0.9991031287781966,0.007348039
1.0,0.5,10.0,0.999397598269575,0.007844426
1.0,0.5,10.0,0.9992709217410134,0.006827371
1.0,1.0,10.0,0.9989144021336728,0.007237488
1.0,1.0,10.0,0.9984967003436167,0.010014466
1.0,1.0,10.0,0.9989980935618965,0.006402572
1.0,1.0,10.0,0.9988441783639024,0.00676686
1.0,1.0,10.0,0.9987801328072843,0.007338378
2.0,0.2,10.0,0.9991867624386144,0.010068715
2.0,0.2,10.0,0.9992129903695403,0.007525106
2.0,0.2,10.0,0.9991712810998093,0.007008439
2.0,0.2,10.0,0.9991756676417245,0.005753664
2.0,0.2,10.0,0.9991469479687618,0.006835619
2.0,0.5,10.0,0.9984477332525242,0.007082098
2.0,0.5,10.0,0.9985550449016007,0.00669686
2.0,0.5,10.0,0.9983791537305396,0.007591546
2.0,0.5,10.0,0.9983531940576311,0.007007468
2.0,0.5,10.0,0.9985431635645383,0.005972953
2.0,1.0,10.0,0.9980368130836677,0.006966288
2.0,1.0,10.0,0.9977613902932773,0.011004909
2.0,1.0,10.0,0.9991871761482632,0.007221308
2.0,1.0,10.0,0.9987007123990852,0.006967831
2.0,1.0,10.0,0.9974507497224607,0.006986672
5.0,0.2,10.0,0.9979593917729387,0.009404259
5.0,0.2,10.0,0.9978950479544498,0.00920431
5.0,0.2,10.0,0.9979689347074479,0.009410459
5.0,0.2,10.0,0.9979884959821802,0.010427975
5.0,0.2,10.0,0.9979701093823905,0.009549459
5.0,0.5,10.0,0.9964597356879932,0.013003552
5.0,0.5,10.0,0.9961667332662869,0.010442637
5.0,0.5,10.0,0.9962976732926553,0.00966607
5.0,0.5,10.0,0.9964304600433864,0.010691627
5.0,0.5,10.0,0.9965320510601949,0.010528747
5.0,1.0,10.0,0.9952884500146036,0.009215634
5.0,1.0,10.0,0.9930847304888295,0.009426333
5.0,1.0,10.0,0.9951446011276589,0.009344224
5.0,1.0,10.0,0.9966177008096647,0.00922177
5.0,1.0,10.0,0.9942414425740949,0.009244607
10.0,0.2,10.0,0.9958690386277035,0.01175381
10.0,0.2,10.0,0.9958523266166671,0.011105565
10.0,0.2,10.0,0.995881731426039,0.012102558
10.0,0.2,10.0,0.9959582116837189,0.011070157
10.0,0.2,10.0,0.9959308810587227,0.011680804
10.0,0.5,10.0,0.9927372647826471,0.01144057
10.0,0.5,10.0,0.9927209267718288,0.011412063
10.0,0.5,10.0,0.9922342019666004,0.011518875
10.0,0.5,10.0,0.9923676234587884,0.011332826
10.0,0.5,10.0,0.9921553239429907,0.011830445
10.0,1.0,10.0,0.9915153896625366,0.012486163
10.0,1.0,10.0,0.9916204357082021,0.01124997
10.0,1.0,10.0,0.9920463848070733,0.010514754
10.0,1.0,10.0,0.9885885877766194,0.011235156
10.0,1.0,10.0,0.9888555805274226,0.010458172
