d,T,N,u,time_simu
1.0,0.2,10.0,1.1736186742782593,142.875581484
1.0,0.2,10.0,1.1735453605651855,27.363534478
1.0,0.2,10.0,1.1728816032409668,27.539888541
1.0,0.2,10.0,1.1738473176956177,25.399954917
1.0,0.2,10.0,1.1738426685333252,27.36737751
1.0,0.5,10.0,1.470362663269043,32.528599616
1.0,0.5,10.0,1.4962986707687378,288.574121992
1.0,0.5,10.0,1.469079852104187,92.51135908
1.0,0.5,10.0,1.4688897132873535,92.012297137
1.0,0.5,10.0,1.4713754653930664,36.468121451
1.0,1.0,10.0,2.053328037261963,158.220281634
1.0,1.0,10.0,2.0517311096191406,62.683576461
1.0,1.0,10.0,2.0558340549468994,65.753529153
1.0,1.0,10.0,2.0493862628936768,61.469984224
1.0,1.0,10.0,2.0672378540039062,270.919359553
2.0,0.2,10.0,1.2096977233886719,30.103551597
2.0,0.2,10.0,1.2097980976104736,28.314143063
2.0,0.2,10.0,1.1699786186218262,29.809934019
2.0,0.2,10.0,1.2101151943206787,31.515353622
2.0,0.2,10.0,1.2098544836044312,31.403124297
2.0,0.5,10.0,1.6474535465240479,302.067724098
2.0,0.5,10.0,1.5853759050369263,116.390682525
2.0,0.5,10.0,1.576071858406067,294.48572155
2.0,0.5,10.0,1.597408413887024,263.791166126
2.0,0.5,10.0,1.5922483205795288,64.407780361
2.0,1.0,10.0,2.469949722290039,285.9544729
2.0,1.0,10.0,2.5024633407592773,284.71424473
2.0,1.0,10.0,2.4531311988830566,283.05789046
2.0,1.0,10.0,2.481733798980713,281.397903433
2.0,1.0,10.0,2.493748188018799,278.95680449
5.0,0.2,10.0,1.1541997194290161,282.606337686
5.0,0.2,10.0,1.2167589664459229,23.359682776
5.0,0.2,10.0,1.2154793739318848,26.005861978
5.0,0.2,10.0,1.215728759765625,25.962922456
5.0,0.2,10.0,1.1873821020126343,34.663269056
5.0,0.5,10.0,1.613125205039978,278.631814397
5.0,0.5,10.0,1.6268192529678345,276.878864486
5.0,0.5,10.0,1.6197375059127808,194.931522722
5.0,0.5,10.0,1.7277575731277466,271.945643038
5.0,0.5,10.0,1.6176482439041138,268.856391812
5.0,1.0,10.0,2.561255693435669,267.286487754
5.0,1.0,10.0,2.540436267852783,265.177506593
5.0,1.0,10.0,2.536102533340454,262.10552774
5.0,1.0,10.0,2.5571036338806152,260.56953164
5.0,1.0,10.0,2.528820514678955,256.22119077
10.0,0.2,10.0,1.2136952877044678,36.501288024
10.0,0.2,10.0,1.2090073823928833,272.935535336
10.0,0.2,10.0,1.1943849325180054,53.839781398
10.0,0.2,10.0,1.2138060331344604,54.502404918
10.0,0.2,10.0,1.2161865234375,110.568479024
10.0,0.5,10.0,1.6098517179489136,264.722725187
10.0,0.5,10.0,1.663685917854309,263.351633371
10.0,0.5,10.0,1.611966848373413,262.840847189
10.0,0.5,10.0,1.6066298484802246,237.756523642
10.0,0.5,10.0,1.6092593669891357,261.087511903
10.0,1.0,10.0,2.5676052570343018,258.377707499
10.0,1.0,10.0,2.6428866386413574,256.391788115
10.0,1.0,10.0,2.48301100730896,255.925296684
10.0,1.0,10.0,2.513659715652466,255.291606117
10.0,1.0,10.0,2.5448508262634277,254.445504505
