d,T,K,u,time_simu
1.0,0.2,10.0,1.1771945515924038,27.9255346
1.0,0.2,10.0,1.176820895128461,26.284644933
1.0,0.2,10.0,1.1772500514276185,25.337274589
1.0,0.2,10.0,1.1762382977801082,25.627948109
1.0,0.2,10.0,1.1769201516130547,25.443556565
1.0,0.5,10.0,1.4874081567719852,24.879914058
1.0,0.5,10.0,1.4849380059576258,27.004417936
1.0,0.5,10.0,1.4838268194616107,24.051119712
1.0,0.5,10.0,1.4832313869946825,25.228197665
1.0,0.5,10.0,1.479097870089197,23.961749841
1.0,1.0,10.0,2.0892137569980367,25.87131744
1.0,1.0,10.0,2.0968901047307935,24.683174629
1.0,1.0,10.0,2.0906655546681927,25.522117971
1.0,1.0,10.0,2.1150366233212763,25.694353973
1.0,1.0,10.0,2.1191272034763595,24.324090333
2.0,0.2,10.0,1.2147431636522765,24.568231275
2.0,0.2,10.0,1.2140898376751814,25.37018192
2.0,0.2,10.0,1.2127394108831788,23.172521523
2.0,0.2,10.0,1.2138650817414582,24.393057726
2.0,0.2,10.0,1.213051597153453,25.228524554
2.0,0.5,10.0,1.619861189492392,25.131098157
2.0,0.5,10.0,1.6211026369310428,26.817368447
2.0,0.5,10.0,1.619505597617386,24.927082547
2.0,0.5,10.0,1.6312050378854301,26.012875334
2.0,0.5,10.0,1.6258827006528094,25.453213597
2.0,1.0,10.0,2.604186804915053,24.655315506
2.0,1.0,10.0,2.5801882438536947,25.715849995
2.0,1.0,10.0,2.5775415427241377,24.41965553
2.0,1.0,10.0,2.640126519742877,24.579941907
2.0,1.0,10.0,2.616292062345605,26.586296421
5.0,0.2,10.0,1.2223365945783695,56.544571294
5.0,0.2,10.0,1.2208116453923692,53.417836653
5.0,0.2,10.0,1.2217919210186985,55.875872678
5.0,0.2,10.0,1.221325492966855,55.391265768
5.0,0.2,10.0,1.2194241130412984,58.650306715
5.0,0.5,10.0,1.6536939648648763,53.845366498
5.0,0.5,10.0,1.648460263612372,54.673732498
5.0,0.5,10.0,1.643169297976804,56.432958134
5.0,0.5,10.0,1.643030457391472,57.912715374
5.0,0.5,10.0,1.6454257059027106,58.770471026
5.0,1.0,10.0,2.69377884070784,59.506353795
5.0,1.0,10.0,2.69215552272189,52.292118692
5.0,1.0,10.0,2.679891352157408,53.894619476
5.0,1.0,10.0,2.7563669938123128,53.907823328
5.0,1.0,10.0,2.7991554318070415,57.28190525
10.0,0.2,10.0,1.219811255489645,65.734530909
10.0,0.2,10.0,1.2168197084733028,68.357993504
10.0,0.2,10.0,1.2195343213466416,65.610631277
10.0,0.2,10.0,1.2192580489323097,67.024706711
10.0,0.2,10.0,1.2170268433288314,67.411311836
10.0,0.5,10.0,1.6329607684843195,65.218719556
10.0,0.5,10.0,1.647088689570301,68.401616329
10.0,0.5,10.0,1.644270322850013,65.660363328
10.0,0.5,10.0,1.6488620059454617,68.403111211
10.0,0.5,10.0,1.6308642897038919,65.763940813
10.0,1.0,10.0,2.6901215256941056,66.132915054
10.0,1.0,10.0,2.774397052194523,67.461509145
10.0,1.0,10.0,2.720076427818659,63.202308334
10.0,1.0,10.0,2.679245283732897,67.389426471
10.0,1.0,10.0,2.6529119683836515,68.369793354
