d,T,N,u,time_simu
1.0,0.2,10.0,1.1476454734802246,36.732032625
1.0,0.2,10.0,1.1476207971572876,28.580123613
1.0,0.2,10.0,1.1476335525512695,27.941677509
1.0,0.2,10.0,1.1476812362670898,27.707461616
1.0,0.2,10.0,1.1476484537124634,27.32966455
1.0,0.5,10.0,1.3826136589050293,27.144815581
1.0,0.5,10.0,1.3826284408569336,26.733758422
1.0,0.5,10.0,1.3826353549957275,26.64210113
1.0,0.5,10.0,1.382643699645996,26.41462009
1.0,0.5,10.0,1.3826286792755127,26.321451482
1.0,1.0,10.0,1.7790499925613403,33.893419538
1.0,1.0,10.0,1.7787574529647827,34.121737648
1.0,1.0,10.0,1.778751015663147,34.609402189
1.0,1.0,10.0,1.779100775718689,33.873429702
1.0,1.0,10.0,1.7786563634872437,33.887877634
2.0,0.2,10.0,1.1713844537734985,26.619632282
2.0,0.2,10.0,1.171373724937439,26.511426352
2.0,0.2,10.0,1.171380877494812,26.376120165
2.0,0.2,10.0,1.1713757514953613,26.258419216
2.0,0.2,10.0,1.1713844537734985,26.256366537
2.0,0.5,10.0,1.4492926597595215,34.49296651
2.0,0.5,10.0,1.4493603706359863,34.709276509
2.0,0.5,10.0,1.4494715929031372,34.455194693
2.0,0.5,10.0,1.4493200778961182,34.370609742
2.0,0.5,10.0,1.449376106262207,34.436755654
2.0,1.0,10.0,1.9230461120605469,34.281470835
2.0,1.0,10.0,1.9241340160369873,34.025101378
2.0,1.0,10.0,1.9235076904296875,34.008748223
2.0,1.0,10.0,1.9242112636566162,34.165013804
2.0,1.0,10.0,1.9240925312042236,33.946925695
5.0,0.2,10.0,1.1732447147369385,28.160894856
5.0,0.2,10.0,1.1732556819915771,27.292677534
5.0,0.2,10.0,1.1732481718063354,27.169996118
5.0,0.2,10.0,1.1732521057128906,26.97818876
5.0,0.2,10.0,1.1732587814331055,26.9570177
5.0,0.5,10.0,1.4549474716186523,35.782961221
5.0,0.5,10.0,1.4549121856689453,36.025194842
5.0,0.5,10.0,1.4549726247787476,36.114358637
5.0,0.5,10.0,1.454676866531372,35.58489797
5.0,0.5,10.0,1.4549555778503418,35.616512038
5.0,1.0,10.0,1.9369508028030396,35.529544213
5.0,1.0,10.0,1.93650484085083,35.480068292
5.0,1.0,10.0,1.9373911619186401,35.40397869
5.0,1.0,10.0,1.9369704723358154,35.346799449
5.0,1.0,10.0,1.9373369216918945,35.251543807
10.0,0.2,10.0,1.1704412698745728,38.949581724
10.0,0.2,10.0,1.1703858375549316,39.500513065
10.0,0.2,10.0,1.1704376935958862,38.958960689
10.0,0.2,10.0,1.1704349517822266,38.86986704
10.0,0.2,10.0,1.1704093217849731,38.656385312
10.0,0.5,10.0,1.447147250175476,38.319968198
10.0,0.5,10.0,1.4471352100372314,37.936757558
10.0,0.5,10.0,1.4471402168273926,38.166492704
10.0,0.5,10.0,1.4471763372421265,37.649042933
10.0,0.5,10.0,1.4470665454864502,37.395900631
10.0,1.0,10.0,1.920623540878296,74.828946619
10.0,1.0,10.0,1.9221915006637573,37.656957769
10.0,1.0,10.0,1.922023057937622,103.744772998
10.0,1.0,10.0,1.9217579364776611,39.860451032
10.0,1.0,10.0,1.9230626821517944,65.315782156
