d,T,K,u,time_simu
1.0,0.2,10.0,1.149196604361398,26.14295285
1.0,0.2,10.0,1.1496597770788217,25.988431933
1.0,0.2,10.0,1.1502648944093599,27.285638831
1.0,0.2,10.0,1.149305877034627,25.830463503
1.0,0.2,10.0,1.1495409472397962,26.437417926
1.0,0.5,10.0,1.3885915667028546,25.921943237
1.0,0.5,10.0,1.3897730800903196,28.152711604
1.0,0.5,10.0,1.3902008454413046,26.982670369
1.0,0.5,10.0,1.3895338813031834,26.684419316
1.0,0.5,10.0,1.3891293246332361,26.269684856
1.0,1.0,10.0,1.7911512991747944,26.351481856
1.0,1.0,10.0,1.7875596712468107,26.859994622
1.0,1.0,10.0,1.7847143269806987,26.877841622
1.0,1.0,10.0,1.7920074071696313,27.002434029
1.0,1.0,10.0,1.7906400772098792,26.334330769
2.0,0.2,10.0,1.1733834565789132,28.672175521
2.0,0.2,10.0,1.173976436784311,27.056471629
2.0,0.2,10.0,1.173657265113816,26.987348636
2.0,0.2,10.0,1.1741422252097513,26.432914035
2.0,0.2,10.0,1.1746218471323224,28.158265701
2.0,0.5,10.0,1.4585316729462199,28.078688251
2.0,0.5,10.0,1.4510376811428303,26.185591132
2.0,0.5,10.0,1.457589170453876,26.646321217
2.0,0.5,10.0,1.462517652917583,28.801887975
2.0,0.5,10.0,1.4578103539283345,27.071998445
2.0,1.0,10.0,1.9398190673858613,27.205089954
2.0,1.0,10.0,1.940932464054696,26.597362716
2.0,1.0,10.0,1.9412584287101309,25.587362557
2.0,1.0,10.0,1.9412034140606143,25.981351031
2.0,1.0,10.0,1.9386815792821523,26.273417543
5.0,0.2,10.0,1.175769830589579,58.545753733
5.0,0.2,10.0,1.1753053738150347,59.34393109
5.0,0.2,10.0,1.1756359910382288,60.817266502
5.0,0.2,10.0,1.1763833559596713,58.618070468
5.0,0.2,10.0,1.1754522354713202,59.161307676
5.0,0.5,10.0,1.4605612589334505,56.570767509
5.0,0.5,10.0,1.4653967326284971,59.320238952
5.0,0.5,10.0,1.466906883918419,56.741846821
5.0,0.5,10.0,1.467401507212431,56.977966217
5.0,0.5,10.0,1.4687505592057537,54.890643791
5.0,1.0,10.0,1.950750691541792,56.228201119
5.0,1.0,10.0,1.9542665316680803,56.52911287
5.0,1.0,10.0,1.952312201518359,56.78709895
5.0,1.0,10.0,1.9469371285198571,57.257686515
5.0,1.0,10.0,1.9492476264663232,58.594040466
10.0,0.2,10.0,1.1730228694283011,66.403232
10.0,0.2,10.0,1.1735514242518708,67.778994221
10.0,0.2,10.0,1.1731377115633477,68.24263198
10.0,0.2,10.0,1.1729246579434691,68.427977759
10.0,0.2,10.0,1.1727574827431293,66.808038281
10.0,0.5,10.0,1.45594751777189,65.04721788
10.0,0.5,10.0,1.4565247396033543,68.25350105
10.0,0.5,10.0,1.454289464215334,69.299910221
10.0,0.5,10.0,1.4561378672057759,65.771015059
10.0,0.5,10.0,1.4597755843372175,65.956910791
10.0,1.0,10.0,1.9444025259208426,65.740403673
10.0,1.0,10.0,1.9427643364264222,65.34040589
10.0,1.0,10.0,1.9342766922344903,67.572457042
10.0,1.0,10.0,1.9447004963152887,66.261505913
10.0,1.0,10.0,1.9347661675776084,68.303010556
