d,T,N,u,time_simu
1.0,0.2,10.0,1.742669659298987,465.086952557
1.0,0.2,10.0,1.736384960949787,329.432345445
1.0,0.2,10.0,1.7511137326994153,326.995637839
1.0,0.2,10.0,1.7598911989758406,322.529601236
1.0,0.2,10.0,1.7451072544212347,319.921729281
1.0,0.5,10.0,1.7027552145156306,316.526797029
1.0,0.5,10.0,1.724290258970035,313.344421533
1.0,0.5,10.0,1.7063663849056527,310.2487121
1.0,0.5,10.0,1.7284645408188233,307.335043236
1.0,0.5,10.0,1.7257985349876408,304.354783779
1.0,1.0,10.0,1.648303011506076,302.03564959
1.0,1.0,10.0,1.6347133404542546,297.770870317
1.0,1.0,10.0,1.677392431398208,294.97917523
1.0,1.0,10.0,1.6758726253424856,291.309537035
1.0,1.0,10.0,1.6749251509761736,288.479295828
2.0,0.2,10.0,3.0553751291290427,300.563718101
2.0,0.2,10.0,3.0790086256325266,297.969398471
2.0,0.2,10.0,3.110272229591164,295.671117027
2.0,0.2,10.0,3.073030020362476,293.500542362
2.0,0.2,10.0,3.0282452598917886,290.587091889
2.0,0.5,10.0,2.92262820179096,289.371642894
2.0,0.5,10.0,2.9109107212158882,288.199542309
2.0,0.5,10.0,2.9181622640833558,286.670142575
2.0,0.5,10.0,2.953022113326614,284.731114102
2.0,0.5,10.0,2.9660022462862305,284.368477518
2.0,1.0,10.0,2.67004243807121,281.948865288
2.0,1.0,10.0,2.749842968975206,279.871701779
2.0,1.0,10.0,2.669291007388508,279.086947599
2.0,1.0,10.0,2.758930010093641,278.267388287
2.0,1.0,10.0,2.7165772922115,277.654665477
5.0,0.2,10.0,16.440701845291773,287.091307404
5.0,0.2,10.0,16.851534845749043,286.09344926
5.0,0.2,10.0,16.877886368948644,293.605079921
5.0,0.2,10.0,16.547506930407522,281.116081604
5.0,0.2,10.0,16.338020481103054,280.026388591
5.0,0.5,10.0,14.433253773001686,277.718829531
5.0,0.5,10.0,14.539768961620819,276.21119026
5.0,0.5,10.0,14.48395592401054,284.916949374
5.0,0.5,10.0,14.324362348682236,274.549228314
5.0,0.5,10.0,14.710185582529848,274.743858992
5.0,1.0,10.0,12.257995072997092,275.990809059
5.0,1.0,10.0,12.030644409071423,272.329950131
5.0,1.0,10.0,12.547573889831337,269.621935594
5.0,1.0,10.0,12.634083859164477,267.500430215
5.0,1.0,10.0,11.938930574099412,266.02413667
10.0,0.2,10.0,89.45180743272961,288.576670551
10.0,0.2,10.0,85.61888482502664,285.425662916
10.0,0.2,10.0,91.18806721022595,283.125617004
10.0,0.2,10.0,84.77145239713185,282.796859668
10.0,0.2,10.0,78.8877586205037,286.765486432
10.0,0.5,10.0,70.4269529454353,289.784436514
10.0,0.5,10.0,67.66260061302415,277.484260872
10.0,0.5,10.0,70.3946345061182,272.671828027
10.0,0.5,10.0,69.47974526342429,272.64902736
10.0,0.5,10.0,68.57077050358546,269.885336532
10.0,1.0,10.0,53.2639705103568,274.176177075
10.0,1.0,10.0,51.79651995602434,266.730830782
10.0,1.0,10.0,61.02985264990525,264.781016811
10.0,1.0,10.0,55.83582779064343,403.219407827
10.0,1.0,10.0,56.16009201524082,402.013705685
