d,T,K,u,time_simu
1.0,0.2,10.0,1.7579998532273005,235.424199176
1.0,0.2,10.0,1.7564994674340186,241.92832628
1.0,0.2,10.0,1.7562917139083192,245.791498762
1.0,0.2,10.0,1.756891452984796,245.161408412
1.0,0.2,10.0,1.756970889679082,251.914227965
1.0,0.5,10.0,1.7154021703016005,235.010553498
1.0,0.5,10.0,1.7197433476564863,244.946961386
1.0,0.5,10.0,1.7184076603742688,251.577012127
1.0,0.5,10.0,1.7179105592192838,229.27712648
1.0,0.5,10.0,1.7190828874339714,247.45085627
1.0,1.0,10.0,1.656573797827496,248.943660658
1.0,1.0,10.0,1.6646376373195955,250.858708874
1.0,1.0,10.0,1.6611047511664152,235.545879886
1.0,1.0,10.0,1.6561246852215747,236.413949608
1.0,1.0,10.0,1.6636349737692777,229.617577749
2.0,0.2,10.0,3.082714471986235,228.31111718
2.0,0.2,10.0,3.085885333457265,238.240702316
2.0,0.2,10.0,3.0839086654648966,236.896593117
2.0,0.2,10.0,3.0848660272893262,236.679517934
2.0,0.2,10.0,3.084780610904401,238.234789291
2.0,0.5,10.0,2.9557990601797415,245.665184358
2.0,0.5,10.0,2.9563908204718286,264.453321305
2.0,0.5,10.0,2.9514522561676078,260.429780621
2.0,0.5,10.0,2.9419799259604202,257.357869088
2.0,0.5,10.0,2.949605638512318,262.729464401
2.0,1.0,10.0,2.754176368965816,266.871109756
2.0,1.0,10.0,2.7641216092400698,270.354683812
2.0,1.0,10.0,2.7544288688410297,263.344382564
2.0,1.0,10.0,2.7518835785210807,261.653805948
2.0,1.0,10.0,2.763534065986448,244.256110554
5.0,0.2,10.0,16.70244685186543,353.516763422
5.0,0.2,10.0,16.72217455754062,357.383331642
5.0,0.2,10.0,16.7121590980554,361.105529389
5.0,0.2,10.0,16.704078940212394,353.209436386
5.0,0.2,10.0,16.68188413440112,354.969428592
5.0,0.5,10.0,14.805666934645979,361.765862135
5.0,0.5,10.0,14.939852733562027,369.565885629
5.0,0.5,10.0,14.85494643913266,352.543243306
5.0,0.5,10.0,14.9012580538578,366.949665756
5.0,0.5,10.0,14.837739980188468,356.9225357
5.0,1.0,10.0,12.493511306176279,338.462432827
5.0,1.0,10.0,12.305269782600226,350.484954581
5.0,1.0,10.0,12.480133158215999,348.461767664
5.0,1.0,10.0,12.463513275707003,355.957271247
5.0,1.0,10.0,12.364520031760895,345.38910622
10.0,0.2,10.0,277.0490975526894,432.943810024
10.0,0.2,10.0,277.2351781899218,412.20237261
10.0,0.2,10.0,277.6045963320026,441.299494506
10.0,0.2,10.0,276.0988340192732,456.501685388
10.0,0.2,10.0,277.57072274468163,444.365433171
10.0,0.5,10.0,219.32442809654177,455.348433224
10.0,0.5,10.0,218.12962542531298,413.827406431
10.0,0.5,10.0,219.41287470757848,425.899767406
10.0,0.5,10.0,218.9737654027763,436.700611536
10.0,0.5,10.0,217.5697663286587,445.746951124
10.0,1.0,10.0,147.32191323567966,436.440866506
10.0,1.0,10.0,146.9086397983948,436.594730189
10.0,1.0,10.0,150.09410666269872,404.546888936
10.0,1.0,10.0,150.4797022116283,393.510726493
10.0,1.0,10.0,152.95054817372312,425.930514485
